,low_comment_True
803,"그냥 우기명 환상에서 봉지은 따라가다가

""지은아... 여긴 어덯게...""

""오빠... 보고싶었어 이리와...""

행인1 ""어어 거기 피해요!!!""

트럭 ""빵빵!!! 비켜 거기 비키라고!!!""

콰왕

그것은 실풀린 연처럼 훨훨 날았다.

주변엔 고요한 침묵만이 감돌고

""지... 지은아... 보고싶었... 어...""

그동안 패션왕을 사랑해 주셔서 감사합니다.

이렇게 엔딩나야 그나마 박수칠때 떠나는 그림일듯

우기 살아도 사는게 아니다 고만 괴롭혀라 제발"
804,"3컷에 누가봐도 미오가 아니라 지은이인게 지은이만이 보여줄 수 있는 특유의 절박한 표정이 보임. 아니 오히려 미오 얼굴인데도 하나도 미오 안같고 지은같음. 작가님 표현력 ㄷㄷ 
작가님 응원합니다!"
805,분량이 좀 늘어난 건 기분탓인가
806,4주간 휴재입니다 4주후 깜빵왕재연재합니다
807,점점 분량 짧아져가는거 기분탓인가
808,난 왼쪽
809,"베도땐 9.3 정도에서 놀았던 작가인데....
흠....사람들은 저와 개그코드가 많이 다르군요 전 정성일 님과다른 203호 이말년 마소 이런게 좋던데"
810,"입으로 손전등을 물지 말것.

손전등은 손으로만 꼭 사용 할것."
811,ㅋㅋㅋㅋ응죽었네?죽인게아무렇지않다니!ㅋㅋㅋㅋ
812,물타기 너무한다.. 작가도 작가 나름대로의 구상이있을텐데
813,서준:싸움 구경이 제일 재밌음 ㅎㅎ
814,분량 분량 분량 댓글을 읽고계시면 분량 좀 늘려주세요 제발 그래도 한때는 1위였는데 이렇게 된거 보니까 마음이 너무 아프네요
815,"<인터넷이 무서운 점>

사실 확인도 전부터 빠른 물타기로 집단이 소수 비난

과거에 썼던 글 하나때문에 그 이후의 모든 일에 제약이 생김

어디까지나 추측인걸 알면서도 끼워맞추기식으로 사실 만들어냄

졷문가들이 넘쳐나 잘 모르는 사람들은 그대로 믿어버림"
816,완결되면 볼게요~작가님 건강하셔요
817,85화부터 139화까지 민호와보배의사랑과 그걸가로막는 오수이야기밖에 없음
818,살빠질줄 알고 쿠키구웠는뎈ㅋㅋㅋㅋㅋ
819,하이랭커 공격을 상쇄시키고 상처까지 입히다니 ㄷㄷ
820,그래 은주도 참교육 받아야지
821,"ㅠ .ㅠ기안 작가님 
지금 수요일 1위를 달리는 것도 독자들 덕분이니 조금 더 빠른 업뎃해주시면  좋을 것 같습니다."
822,"조금 더 이 부분 풀어주셨으면 좋겠다... 어떤 결과인지, 어떤 이유인지 짐작도 되고 알겠는데 난 더 설명이 있었으면 좋겠어...."
823,고유 캐릭터가 모두 없어져서 왠지 다른 만화같다
824,(총구를 들이밀며) 우리 전투 퀑이야.
825,아니 저신발이 세상에 하나밖에없나 여주는 뭘 아무말도못하고있엉  잡아때
826,"민호오빠도 이해안가는데 오수가 자기좋아하는줄알고 자기는 맘없으면 철벽치던가 왜 데이트하고그럼,"
827,덴마 역사에 남을 한장면이다
828,쿠키 고민하시는분들은 이제 구우시는거 추천해요~ 지긋지긋한 동태미오 스토리 끝나고 다른 캐릭들 등판함
829,난 챔프가서 3600원주고 올해 크리스마스분량까지 다보고왔다ㅋㅋㅋ 분량은작가맘인데 따지지마라 이리팔아먹는 네이버가양심없는거다ㅋㅋ
830,주니엌ㅋㅋㅋㅋㅋ병맛로코같아서 점점 보게됨
831,이게 맞는거지
832,항상 느껴왔던거지만 지은이만큼 불쌍한 표정 잘 짓는애가 없는듯 ㅋㅋ 불쌍한 표정묘사는 독보적 원탑임 쫄보 표정 지을때가 가장 지은같음
833,진짜 목보호대 같은거 출시되면 퀑들 필수 아이템일텐데...
834,모바일도 볼수잇는데 왜그러심
835,지은아 은주는 절대 그 손 안놓을거야.. 믿어.. 걔는 동태나 미오가 아냐 ㅎㅎ
836,"모두의마블 게임판이 되는게 아닐까요??
기대되는 모두의마블 다음이벤트
★S+동태 얻기
★S+타임포스 얻기"
837,"여러분 잠시만 참으면 됩니다! 내년 1월! 즉 얼마 안남았죠? 그때 베도에서 신작 ""무주의 맹시""라는 갓띵작 웹툰이 하나 나올 예정입니다! 그땐 이런 웹툰이 아니라 베도 정식승격웹툰이 기다리고있어요! 며칠만 기다립시다!!"
838,저 경찰 박지호 웃는거 보고 눈치 챈거같은데
839,지은이 정말 잘만든 캐릭터인듯. 신캐가 주인공 분량 다 잡아 먹어도 위화감이 없네여. 오히려 동탠 나올때보다 훨씬 재미는듯 거의 진주인공
840,여러분 저거 다 두식이 형님이 뉴비들의 재롱잔치를 봐주시는 겁니다
841,5252 작가양반 독자들은 생각보다 똑똑하다구
842,진짜 지은이는 동태랑 미오 도와줬는데도 고맙다는 말도 못 듣고 결국 미오랑 놀고 있는 동태한테 도와달라고 찾아왔더니 미오가 칼 들고 있어서 실수로 죽이고 동태랑도 사이 틀어질 가능성이 높아졌네...
843,왠지 미오가 준봉투에 다이스있을것 같다.....
844,텐카 단풍과 혼연일체ㅋㅋㅋ
845,어머니파 손들어✋
846,쟤 크롬벨 환생?
847,오수는 몸무게 5kg를 위해 인생의 5kg를 덜어내고 있는 것 같네요..
848,됐어 난 이제 양작가에 대한 분노를 유지할수가 없다 내별점은 10점이다
849,지은이는 다이서가 됐지만 예전처럼 행복하지 못 해서 안쓰럽다
850,이렇게 한명의 첫키스 기회가 날아갔습니다...
851,네 국민프로듀서 여러분A조 공연 시작합니다↗!
852,"베도 승격작 아니고, 청춘로맨스 대전 우수상 작품임. 도전만화에 4화 이상의 분량으로 참가 할 수 있는 기존 공모전들과 다른 방식이였음. 여기서 의문점. 포텐업처럼 베도에서 순위권이 공개 되거나, 투명하게 투표수가 공개되는 대학최강자전과 다르게 독자들의 인기도로 평가한다면서 굳.이 독자들의 유입이 적고, 순위 또한 정확히 알 수 없는 도전만화에서 공모전을 진행한 점. 댓글만 보더라도 수많은 독자들이 작품이 부족하다는것을 느끼고 있는데, 담당자님들이 이 작품을 단 4.화.만.에 뽑았다는 것. 정말 공정한 과정에서 이루어진 결과인지, 어떤 기준으로 뽑힌건지 의문임. 비판이 과했지만 정식연재가 부족한 부분을 보완 할 수 있는 기회가 되셨으면 함. 작품에서 부터 이 자리가 간절하지 않았다는게 보이는데, 이.깟 정식연재가 너무 간절해서 청춘을 바치는 작가, 학생들은 셀 수 없이 많기에. ㅍㅌ는 곧 이 댓글은 삭제 당할것임."
853,"난 별점10주기싢음



100점주고싶어"
854,덴경대 생활 5년차 뉴비인데... 조용히 연재만 이어져라
855,우기명은 쓰레긴데 두치는 진짜 좋은친구 맞다
856,ㄹㅇ 양가놈 악덕의 상자에 가둬서 누네띠네랑 물만 넣어주고 평생 덴마만 그리게 하고 싶다
857,잘알려지지 않은 아는사람만 아는 쿠키맛집
858,"지은누님 성격 바뀐건 미오동태를 목숨걸고 도와줬는데도 막상 둘은 자길 하나도 신경 안써주는게 한몫한게 아닐가 추측해봄니당 
제일 약하기도 하고 외로운만큼 내심 동태가 신경 써주기를 바랬을지도"
859,박지호ㅡ소년원 편 하나만들자. 소년원에서 존나 쳐맞는걸ㄹㆍㄷ
860,x세대 승률 98퍼라 했죠? 그치만 선빵때린 놈들은 100프로 ㅈ된다했으니 김두식이 이길겁니다
861,날먹 ㄹㅇ 개오진다 이작가
862,"오오!!!! 신박하다!!
떡밥도 회수하고 스토리도 박진감 있고!! 양형 대박!!"
863,뺨 오지게 때리네 ㅋㅋ 근데 분량은? 양형도 맞고싶은게야?
864,난 이웹툰의 끝을 다시 써보려해
865,오늘은 동양VS서양 중에 뭘 볼까요?? 추천좀해주세요.. (진지..)
866,돼지만화시 사람 여럿구하네 ㅋㅋㅋ
867,아니 오늘 한편분량에 주인공들은 1컷씩 나오고 조연커플로 가득 채운거 실화? 이틀 지각한것치곤 결과물 허허허허!
868,곧있음 진호빈눈 비밀 나오나?
869,"김치의 종류 중 하나로 갓 잎에 양념을 얹어 만든 김치다. 갓은 1년에 3번 이상 재배가 가능하므로 갓김치 또한 1년 내내 먹을 수 있지만, 봄인 4~5월에 갓 수확한 갓으로 만든 것이 가장 맛이 좋다.

갓 특유의 독특한 향에 감칠맛과 매운맛이 더해져 많은 사람들이 즐겨 먹는 음식이다. 겨자의 톡 쏘는 매운맛과 열무김치 같은 사각사각한 식감에 어우러지는 남도 특유의 양념-매운 고춧가루와 짭짤한 젓갈맛이 일품이다. 갓김치를 잘 익히면 식감에 익은 김치 특유의 맛이 더해지기 때문에 이 쪽을 선호하는 사람도 많다. 식객에서도 봄갓은 진미라는 식으로 언급된 바 있다. 특히 여수의 돌산에서 자라는 갓이 특유의 향이 좋기로 소문나 명물로 알려져 있다. 토양의 차이 때문인지 같은 종자를 써도 돌산 밖에서 자란 갓은 그 맛이 나지 않는다고 한다.

-출처 꺼무위키"
870,"작가님 블로그에서 아주 예전에 용이산다와 취향의 품격이라는 웹툰중 하나를 선택하여 연재를 생각하신다고 하셨습니다.
용의산다의 장르는 판타지. 취향의품격은 연애 라고 하셨는데
지금 실루엣을 보자니 아마도 취향의 품격을 연재하시고 용의산다 시즌3로 돌아오시지 않을까라고 조심히 추측해봅니다."
871,"지훈이 말 이쁘게 하는거 보소.. 새로운 도전이라니ㅠ 벽에 기대서 살짝 시무룩해있는거는 완전 댕댕이같당.. 하ㅠㅠㅠㅠ
근데 노아가 보배한테 너무 눈치주고 그러진 않았으면 좋겠다 보배도 자기 친군데 얘기 나눠볼 생각은 없는건지..
일단 다음 화에서 영화 집중할 사람 1도 없겠군 서로 쳐다보다가 눈 마주치면 이제 또 상상의 나래를 펼치겟찌..ㅎ 같은 날은 이해한다만 영화 시간까지 같다니 진짜 최악..
민호는 노력하는 오수에게 약간 호감은 가질 수도 있겠지만 다음화에서 보배 보면 바로 또 시선 고정되겠징? 그러다 드디어 오수도 눈치 채는 스토리이려나ㅠ
난 그냥 지훈이가 맘 고생 안했으면 좋겠다요... 오수가 잘되든 안되든 상관없다만 지훈이는 혼자 맘 아파하다가 응원해줄게 뻔함 너무 맴찢일거 같아ㅜㅜ"
872,작가님 늦으셔도 괜찮습니다. 평소처럼 그려주세요 
873,3성이 부활했으니3점드림
874,"유튜브 소련여x:구독자 33만 출신국 이용 자본주의에 물든 빨갱이 컨셉잡음 
웹툰 정보전사:웹툰내 북한간첩 자본주의 좋아서 밑작업 중 
둘의 차이는? 
한쪽은 컨셉 좋다고 빨리고 한쪽은 북한미화냐며 개까이는 중 
이중성 대박임"
875,"작가님 대사를 생각은하고 쓰신거죠? '여태만난 참가자들'
이라는 단어가 있는데 마지막엔 '처음으로 만난' 은 어떻게 나오게 된건가요? 스토리,대사 신중하게 해주셨으면좋겠습니다."
876,야식은 두부!
877,발을 밟는 것은 스텝을 방해하는 엄연한 기술입니다 !!
878,유일한 정상인 빛머니
879,우기명 머리 자를때 리즈 기명이로 돌아갈거라고 생각한거 나만 그런건가..?
880,이번화의 핵심은 롯의 개구장이 드립아닌가요
881,"솔직히 퀄리티를 안보고 스토리만 보고싶어도 그림체가 계속 눈에 걸리는건 맞아ㅋㅋ 당장에 루키단편선처럼 요즘 지망생들 퀄리티만 봐도...ㅋㅋㅋ 근데 개인적으로 카카페소설이나 네웹소설같이 흔해빠진 로맨스 학원물를 삐까뻔쩍한 양산형 그림체로 한껏 어그로 끄는 작품이나 임총이나 돼지만화같은거 끌고와서 웹툰 전체적인 수준 하락시키는 것보단 백배는 낫다고 생각함. 그렇게 따지면 운빨로맨스나 여중생A, 신과함께, 타인지옥, 대학일기등등 기본기 잘 잡힌 화려한 그림체도 아닌데 대중들은 확실히 사로잡았고,. 솔직히 지상최대 공모전에서 수상한 퀄리티라고는 정말 안믿기지만 1,2화만 보고 판단하는건 너무 빠르고 좀 더 지켜봐야할듯"
882,다리에 멍든거는 채색 담당인 홍승희님의 작품이십니다. 우리 모두 홍승희님을 잊지 맙시다ㅠㅠ
883,매주 보면서 느끼는데 난 아리 머리 자르길 잘한거같음 졸라귀여워 ♥♥♥♥♥ ㅠㅠㅠ 하...
884,"속일까 말할까 나도 고민 안 할래
인사해 새로운  내 여자야"
885,와 이 웹툰을 여기까지 미리보기로 결제할줄른 꿈에도 몰랐는데 ㄹㅇ 개꿀잼이네
886,돼지놈 저때는 자기머리가 장식이 될줄은 몰랏겟지?
887,빌런 IMF는 IMF사건 풍자한듯... 국민이 모두 모여 금 모아서 해결한게 IMF잖
888,작가님 항상 웹툰 잘보고있습니다!!작가님을 응원하고 지지합니다!!
889,아니 여래의검 쓰면 서 기빨리는게 왠지 여래 부활에 도움주고있는것같은데 ㄹㅇ
890,드디어 정상적인 상황이
891,그냥 딘이 주인공이라고 말해
892,동원이 기억상실증 걸려서 유나 좋아했으면 좋겠다 유나 이제 사랑 받을 때가 됐음 동원이한텐 유나가 아깝지만 그래도 사랑 한 번 받아봤음 좋겠다 작가님 큰그림 믿습니다 하긴 머리가 터져서 어케 되는 거 아니면 어떻게 할 수 없는 고구마놈이긴 했어요 기괴한 전개 인정합니다
893,진정하세요 여러분 다음화부턴 덴마가 등장할겁니다 전쟁 볼려면 아직 멀었어요
894,본격 여주 존나불쌍한 만화
895,사실 번너클은 바스코 퇴학 당하면 단체로 다 같이 퇴학할 애들임
896,와씨 대머리까지 죽이네 미친 약쟁이고산
897,"(오늘 내용) 
지훈 : 자물쇠 알파벳을 바꿔껴
아리 : 응"
898,"애초에 우기명은 주시은에게 큰 마음없었다, 김대리랑 주시은이랑 잘되고 봉지은 다시나올듯..."
899,"다음 주
백승철 월면에 발 디딤

다다음 주
진모리 지하성지로 진입함

다다다음 주
박무봉 여래 부활 의식 진행 준비함

다다다다음 주
박무봉 여래 부활 의식 실행함

다다다다다음 주
진모리랑 박무봉 재회함

다다다다다다음 주
박일표 세통령 되는 얘기로 넘어옴

다다다다다다다음 주
유미라 기억 돌아오기 직전에 끊김

다다다다다다다다음 주

유미라 기억 돌아오고 합류함

다다다다다다다다다음 주
백승철 지구로 귀환함

다다다다다다다다다다음 주
박무봉이 여래 부활에 성공함

다다다다다다다다다다다음 주
리수진도 발해 이끌고 코엑스로 갈 채비함

다다다다다다다다다다다다음 주
우마왕 본체 찾아서 돌아옴

다다다다다다다다다다다다다음 주
이제야 국가급 전력 다 소집됨

다다다다다다다다다다다다다다음 주
여래랑 진모리랑 밀린 대화 나누면서 회포 풂

다다다다다다다다다다다다다다다음 주
여래가 선빵 시전함

다다다다다다다다다다다다다다다다음 주
진모리가 당하는 연출 쏟아내다가 서서히 반격함

하..답없다."
900,여기 나오는 여캐들은 하나같이 매력 뒤지네 ㄹㅇ
901,에미야 분량이 짜구나
902,반장은 하야하라
903,다신안본다
904,"사실 이거 말고도 뿌린 떡밥이 많아서 아직 보고잇다. 염력과  라이프 드레인을 활용하는 모습, 환성아의 치료된이후 모습, 환성곤이 스킬북을 가져다 준다 햇는데 그 책들이 얼마나 사기적일지, 그런데 이런분량으로는 보기에 너무 힘들것 같다. 나는 금요일 웹툰중에서 가장 애정을 가지고 보던게 더 게이머엿다. 근데 점점 재미없어지고 스토리도 막장이다 연혼문이 갑자기 파괴되질않나 정말 정으로밖에 못보겟다  초심을 찾으라는 말이 있듯이 초심을 찾기를 진심으로 바란다"
905,"2부22화 콩콩 콩의 저주다 2.22를 유지하라
2부22화 콩콩 콩의 저주다 2.22를 유지하라
"
906,오늘꺼만 봐도 진짜 주인공이 누군지 알겠다 ㅋㅋ 지은쪽 끝나니까 텐션 확떨어짐
907,이 만화의 문제점은 그렇게 힘든 일이 많았던 주인공 동태가 시간이 지남에 따라 성장하지는 않고 점점 알 수 없는 행동만 한다는 것이다 생각이란걸 하지 않는 캐릭터인 것 같음
908,"권시연 - 쿨하고 멋진데다 먼저 놀러가자고 대쉬까지하고
그러다가도 얼굴 붉히며 부끄러워 하는 갭모에

반장 - 계속 버스타며 받아먹는것도 모자라 눈치없이 끼어들기 까지하는 개민폐

더 이상의 자세한 설명은 생략한다"
909,작가님요새 노블레스 작가님이랑  친함?ㅋㅋ
910,"서열2위를2방에!
서열2위를2방에!
세상에나마상에나
세상에나마상에나"
911,야진짜 그림작가는 까지마라
912,"하아.... 진짜 마지막 글입니다. 어떻게든 제가 있을때까진 배뎃 내렸으면 했는데... 진짜 미대통령이 보면 기분나빳을꺼라는거... 이해합니다. 사람이면 그랬겠죠. 근데, 진짜로 말하는바는 미 대통령이 자신을 비하해서 기분나빳다고 생각하세요? 저라면 차라리 좀 우스꽝스럽게 나온게 기분나빳을꺼 같은데... 이번화에서 님들이 눈 크게뜨고 보세요. 진짜 비하하는 내용이 있나. '미대통령이 이랬다면?'이라는 픽션이 과연 '미대통령을 무능력자라고 말하는 것인가?' 이 점을 염두하세요. 진짜로 다시한번 말하겠습니다. 이 만화에 진정으로 미대통령을 비하하는 요소가 단 한개라도 있습니까? 미 대통령이 우리나라말을 써서 어색해요? 미대통령이 소주마시면서 우리나라 지잡대생이랑 얘기하고 다니고 싶다고 말하는게 그렇게 부끄러워요?(그것도 놀기좋다는 이유만으로?) 진짜 전 오바마 존경합니다. 그리고 지금상황을 정치에 지쳐 우리나라학생과 대화하는 오바마로 보세요. 이렇게 비난할까."
913,누가 저런 남자들 좋아한다고 ㅋㅋㅋㅋ
914,"그 혹시.. 작가님, 신의 언어 올해 안으로 끝내겠다고 하지 않으셨어요? 이렇게 해서 언제 촉수괴물 물리치구 아람이 만나서 구조해서 평화로운 삶으로 돌아가는지.. 올해 안으로는 절대 못 끝낼 거 같네요.. 힘내세요."
915,"장산범의 특성은 환각과 흉내내기죠.. 환술은 언제쯤 사용할까.. 라고 생각하고 있었지만.. 별 걱정은 안하고 있었습니다, 난새한테는 나름 천수보살의 눈을 지니고 있는 것도 그랬지만 환술이라는게 상대방의 내재력이 자신의 능력보다 높으면 통하지 않죠,  난새는 천수보살 신체 + 두억시니의 요기 + 난새 어머니의 우월한 신통력까지 이어 받았을 지언데.. 백양 장산범의 환술에 당한다!? 애초에 난새는 요괴를 환술로 유혹하여 양분으로 흡수하는 나름 마수(?)의 환술에서 깨어난 적 있었죠? 그때는 마수 자체가 난새가 변했었던 마수의 임펙트가 너무 강하게 남아서.. 아! 신체를 지니고.. 두억시니급 요괴를 가지고 있지만.. 사스갓 마수;; 하고 나름 인정하다가.. 환술 깨어나는 거 보고 오오오! 역시~!! 하고 있었는데.. 제 생각엔 백양이 난새에게 환술을 걸고.. 백양은 승리 했다고 씨익 웃지만.. 중간에 정신이 번쩍 들고.. 그만해! 라고 말하면서 백양을 제압하는 것도 나쁘지 않았나 싶네요"
916,"어지간하면 댓글 안달고 사는데 작가님이 읽어보실 수도 있다고 생각하고 남깁니다. 도가 지나친 비난이 댓글에 보이면 제 일처럼 화도 나고 부끄럽기도 합니다. 다만 독자들이 지속적으로 댓글에 남긴 정당한 비판들은 이대로 계속 무시하면 안된다고 생각해요.
저는 전개가 느리던 빠르던 상관없이 기다렸다 봅니다. 지금 같은 만화카페, 웹툰이 아닌 만화방 시절의 사람이라 그런지는 몰라도 작품이 탄생하는데 걸리는 노력과 시간이 굉장이 많이 들어간다고 생각하기에 기다려도 상관없거든요.
하지만 지금처럼 독자와 작가님과의 갈등이 계속된다면 결국 피해는 작가님이 고스란히 안고 갈겁니다. 나이가 어리다고 해서 세상물정을 모른다고 생각하시면 안됩니다. 아직 덜 여물은 봉우리같은 친구들이지만 저희 때보다 더 많은걸 배우고 생각의 폭이 넓은 경우도 많습니다. 지나가던 못배운 아저씨지만 그래도 살면서 배운점이 있다면 아무리 어린 사람의 말이라도 욕이 아닌 쓴소리는 언젠가 보약이 되어 돌아온다는 겁니다...."
917,"동태 행동이 현실적이다 하는 사람들은 뭐하는 사람임... 현실에서 여친 죽는다고 죄없는 친구나 힘들때 도움만줌 누나까지 직접 죽이는 일이 있나요? 원수에게 복수하는거면 몰라도 자기 주변인을 뒤통수쳐서 죽이는게 현실적이라고..? 
남들과는 다른 현실을 살고 계신건지 싸이코패스인건지 모르겠네"
918,기대한 내가 바보다
919,"블레이드노트 본적이 없지만
 자꾸 보고 싶다고 하니까 
나도 보고 싶다
"
920,"소설의 세세한 부분을 굳이 웹툰에서까지 모두 표현할 필요가 있나요 그리고 소설버전이었다고 해도 이런 장면들은 필요가 없다고 생각합니다.
또한 웹툰인 만큼 군더더기를 제거할 필요가 있지요
쿠베라 같은 경우도 원래는 소설로 기획되었었지만 다듬고 다듬으며 웹툰으로 나온겁니다
그런 점에서 보면 더게이머는 준비가 부족했다고 볼 수 있겠네요"
921,준비 존나했다며 마법사의 영지   크기 실화?
922,"싸우기 전 예상 했던 내용.. 난새 두억시니 변신... ( 막강한 요력에 백양이 당황) 백양이 장산범으로 변신.. 전투 시작, 장산범은 환영이 특기.. 걱정조차 되지 않았음. 난새는 삼라만상을 꿰 뚫어 보는 천수보살의 눈을 지니고 있음... 백양이 환영을 시전하고.. 난새 : ? 뭐하냐 너? 라고 하자 백양이 급당황..( 환술이 안통해?! ) 백양이 환술 재시전.. 안통함, 친절한 설명충 난새 등장 난새 : 나한테 환술이나 정신계쪽은 안통해, ( 삼라만상을 꿰 뚫어보는 눈.. 신체 신력 + 어머니 신통력 +두억시니 요력 ) 난새 : 지금이라도 항복 할래? 백양 : 웃기지마!  막싸움 시작.. 결과가 정해져있는지 백양이 개발리기 시작.. 난새 나름 자기 하렘후보에 넣을 여성이라 걱정 되기 시작 ..
난새 : 이제 그만해.. 막강한 힘으로 찍어누름,  백양 정신 차린 후 보는 사람도 마음 아파질 정도로 울기 시작.. 두목으로써의 프라이드.붕괴
그걸 보던 난새. ( 내가 도와줄게 울지마)"
923,"낙태안하고 키우는게 잘못된 행동은 아니지만 본인이 지금 경제적 상황이 풍족하고 아이가 생겨도 지금같은 생활을 누릴수있다면 낳는게 맞지 근데 지금 본인이 경제적인 활동을 하는것도 아니고 부모님께 손벌려서 얻은방에 생활비받아가면서 등록금으로 유지하는 입장에서 이사가서 만난 사람에게는 밝혔으면서 부모님이나 남자친구,친구들 한테는 안밝히고 그 사실을 숨기는것이 잘못인건 모두가 아는사실 아니야? 이런걸로 지적해야지 왜 말같지도 않을걸로 찡찡거리냐 도대체???"
924,"드디어 덴마도 '그' 반열에 들어섰다.... 만화 스토리가 재밌어서 보는게 아니라 매 화 얼마나 막장으로 가는지, 댓글은 또 얼마나 난리가 났는지 보러 오는 그런 만화... 만약 유료여서 100원이라도 내야 볼 수 있다면 당연히 볼 생각 싹 사라지는 그런 가치없는 만화... 과연 다음 화는 얼마나 추해질지 엔딩은 얼마나 허접할지 가슴이 두근두근거린다. 사실 나같은 마음으로 보는 사람 꽤 많을껄?"
925,반장 죽는거 보고싶은사람 좋아요 ㄱㄱ
926,'내가 아는 한' 최강이라.. 제 8우주는 네가 모르는 이야기로 가득하지..
927,"딱 대
시볼트"
928,지은누나도 학창시절에 힘들었나
929,네 형 말씀대로 열심히 공부해볼게요! 근데 여기 카톡인가? 왜 둘이서 대화를하지
930,the gay more
931,"갓오하 독자들 만큼 여론이 순식간에 뒤바뀌는 독자들도 없을 듯ㅋㅋㅋ

용제형이 대단한건가ㅋㅋㅋㅋ"
932,좋은엄마 ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ말도안돼는소리하고있네
933,이제 은주가 저 뉴스나 댓글들 보고 지은이가 어떤 상황인지 이해하고 조금의 죄책감이나 깨닫는 것이 있으면 좋겠음
934,저 클로킹 다이서가 은주나 지은일지도 모르는데 일단 노빠꾸로 지르는거봐라 동재앙 새기 ㅋㅋㅋㅋ
935,"태빈이 본 은주 트롤링 예상, 대웅/지은 다이스 독차지하겠다며 내분, 그 틈에 요환은 혐태한테 희생당할듯"
936,나도 스토리작가 할수있겠다ㅋㅋ
937,"재난
작가도 재난
원고도 재난
스토리도 재난"
938,와 은장백사가 확실히 다르긴하메
939,와.. 진짜 남주여주를 왜 이렇게 설정하신거지...? 스토리 진짜 빻았다...
940,흙수저 특징: 지 인생 걱정보다 우주 걱정함
941,태새변환보소 보는내가다 쪽팔린다
942,"시래기된장국출처 : 전통향토음식 용어사전이칭 시래깃국(충북, 경남), 돼지고기시래깃국(경남)시래기를 된장으로 무쳐 육수를 넣고 끓인 국이다.방법 1 : 삶은 시래기를 된장으로 무친 뒤 멸치장국국물에 넣어 약한 불에서 오랫동안 뭉근하게 끓이다가 어슷하게 썬 대파, 다진 마늘, 소금을 넣어 간을 한다(상용).방법 2 : 물에 불렸다가 삶은 시래기를 된장, 고추장으로 무친 다음 쇠고기육수에 쇠고기와 함께 넣어 센 불에 끓이다가 약한 불에서 30분 정도 푹 끓인 후 된장을 풀어 넣고 한소끔 끓인다(충북).방법 3 : 돼지고기를 푹 삶은 육수에 삶아 건져낸 돼지고기, 양념(된장, 고추장, 다진 마늘, 고춧가루)에 각각 무친 토란대와 무청을 넣고 끓인 다음 대파와 풋고추를 넣고 국간장으로 간을 하여 더 끓인다(경남).시래깃국이라고도 하며, 경남에서는 돼지고기시래깃국이라고도 한다. 《조선무쌍신식요리제법》(시래깃국, 청경탕 : 靑莖湯)에 소개되어 있다."
943,개답답하네 이제 쿠키 안구워야지
944,"더 게이머 되는법
노인정으로 간다.
가장 귀가 어두운 할배를 찾는다.
할아버지! 전 더 게이가 되려고 노력 중이예요!!

할아버지 : 더 게이 머?!?"
945,이젠 개나소나 정치비판인가....
946,"확실한게 하나있지. .  웹툰 내용말고 다른내용이 배댓간다는거.  근데 그내용전부가 조안나 작가님 태도지적이라는거 그정도면확실히 문제있는거다... 

예전에는 추리하는사람도나오고 재밌게 댓글도읽었는데 이젠 9할이 조안나님 비난이라 더볼필요도없다. 

조안나님 각성좀하세요 이건 진짜 아닙니다. 내용을 같이짜시는것도아니고 내용파트, 그림파트 나누는데 왜 늦으시는지는 잘모르겠습니다...  다른작가분들중엔 스토리,그림 같이 짜면서도 안늦는분들도많은데요..  왜 늦는지 원인분석해보심이 좋지않을까요 댓글안보고 넘기시는건진모르겠지만..."
947,"스토리가 탄탄하다니; 세계관은 그럴듯해 보이지만 그 안에 내공이나 풀어가는 스킬이 부족한거 같은데? 쉽고 재밌게 풀어갈 내용도 심오한 척하면서 괜히 힘줘서 설명하려고 들고, 사회비판도 하려고 하지만 어설프고 유치하게 하고... 가장 큰 문제는 스토리 질질 끌면서 설명충 기질 발휘하는 거지만ㅎㅎ"
948,"반장이못생겨서그래..
히로인이 못생겼잖아..
댓글만봐도알수있어..
독자들은 반장이 싫은게아니라..

"" 반장의 얼굴이 싫은거야.. """
949,저여자가 범인인것 같다 진심...
950,아냐 마지막에 성운이 찡그리고있어
951,이정도 의지면 5키로는 금방 뺐을텐데
952,유튜브하시는건좋지만  주객전도가되면 안좋은거같습니다 ㅜ ㅜ
953,연주 존X 멋지다...
954,"※마크정식 레시피※
우선 소시지를 전자레인지에 데운다. 스파게티와 떡볶이에 물을 붓고 각각 조리한다. 이 때, 떡볶이(자이언트 떡볶이 기준)에는 물을 많이 붓지 말고 떡이 약간 잠길 정도로만 붓는 게 좋다. 면이 익는 사이 떡볶이는 레인지에 넣고 3분만 돌린다. 스파게티와 떡볶이가 완성되면 소스를 뿌린 후 두 가지를 섞는다. 그 위에 조각낸 소시지와 치즈를 얹어 전자레인지에 15-30초 가량을 더 돌려주면 완성"
955,왠지 서한량이 제우스 흉터낸거 같네
