,low_comment_False
1943,좋은 작품 하나 폭팔시켜놓고 차기작 준비해서 이렇게 나오면 사람들이 얼씨구나받아주겠냐 사과부터해라 독자들 기만하는 행위다
1944,와 네이버가 삭제시켰어 베뎃
1945,반장은 하야해라
1946,이거 국제망신 각인데ㅋㅋㅋ
1947,"....이건 뭐 하도 오류가 많아서 설정오류 축에도 못들지만...
이제와서 총알은 국보에 포함 안된다고요?
그럼 무신 서한량이 초반에 금제 안 풀린 상태에서 네필림한테 총이랑 바주카포로 쏴 갈긴 건 총알이나 탄도가 아니라 장풍이라도 됩니까?
작가님. 죄송하지만 최소한 본인 만화를 한 번씩 봐가며 그리는 게 어떨까 싶습니다. 뭔가 새로운 애들이 나와서 게임 캐릭터 늘어난다고 되는 게 아니에요."
1948,충격적입니다 임신은 같이 했는데 내 일이니까 라니 여자 혼자 책임지는 게 당연시되네요 이런 게 유명 플랫폼에서 연재가 될 내용이라는 게 상식적으로 이해가 안 갑니다 십년 전에도 이렇진 않았을 겁니다
1949,"이게 억대연봉 웹툰작가의 스토리인가 
학교다닐때 오타쿠들이 쓰는 가상소설 만도 못하다 접자 "
1950,차라리 동태미오보단 착했던 석순나니를 그려줬으면 평점 높았을듯....(나니는 미오보다 착해서 미오처럼 통수는 커녕 싸움 말렸고 석순이도 동태처럼 여친죽고 폭주는 안함.)
1951,이젠 욕먹으니 3화씩 같이올리기로 했냐
1952,북한 미화시키는거 존나 역겹네
1953,아 진심 다른 건 모르겠고 돈 내고 보는거 아니니까 비판이든 비난이든 하지 말라는 애들 진심 무식한거 티내지 말라 제발 좀... 우리가 돈 안 내고 양영순도 돈을 안 받으면 니네 말이 맞지. 근데 양영순은 네이버한테 돈을 받잖아? 그리고 네이버가 양영순한테 고료를 지급해주는 건 봐주는 독자들이 있어서고. 좀 머리가 달려있으면 장식으로 쓰지 말고 좀 생각을 하고 살아라 제발
1954,내 스크롤 누가 망가뜨렸냐 왜 더 안내려가냐
1955,이제 더노가다로 이름바꿔야하지않나요......
1956,와.. 심지어 표지에 지은누나도 없음
1957,주인공 너무 위기의식 없는거 아닌지;; 공감이안됌
1958,100프로 장담하는데 지금 지은이가 독한맘 먹은것처럼 보이는게 오히려 반전이다. 분명 동태 칼빵놓을 상황에서 칼 놓치고 주저할것 같음.
1959,"전형적인 오덕류 망작 양판소 특징
1. 일단 주인공 능력이 특이하고 ㅈㄴ 강함
2. 히로인 최소 3명이상 로리 천연 안경등 다있음
3. 사건이 터지면 시작은 화려한데 끝은 허무
4. 반복적인 패턴. 사건발생->강해질꺼임!-> 훈련->이정도면 되겠지 하고 갔다가 털림-> 하지만 주인공 버프 받아서 이김-> 히로인+1-> 무한반복

다를께 뭐냐.."
1960,내가 보기엔 마녀사냥이다 물타기 그만하고 객관적으로 상황을 봐봐라 글작가도 이미 2개를 연재하다가 받아서 계속 콘티 자체가 늦으면서 악순환이 됬다는데 이게 그림작가만의 잘못이냐? 물론 그림작가가 스토리에 관여하는건 잘못이지만 내 눈에는 둘의 입장차이때문에 연중이라는 최악의 결과가 나온걸로 보인다
1961,진짜이런전개일줄알았다쿠키괜히구웠다
1962,"오늘부터 쿠키안쓰고 하차합니다.
한두달있다가 몰아봐야겠네요."
1963,"딘이 진짜 꼴뵈기 싫은 캐릭터인 가장 큰 이유는 저 건방진 행동에 정당선이라고는 1도 없다는것. 쉽게 말해서 오지랖이 태평양인 급. 제 아무리 본인이 세통령 덕봐서 건강덕좀 보고 미래 예지 능력 덕에 처참한 결과를 본다고 해도 말릴 건덕지가 없다. 진모리 입장에서는 불구대천의 원수이고 모든걸 뺏어간 장본인을 응징하려는 마당에 귀에 박히지도 않을 씨알도 없는 명분으로 건방지게 싸움에 개입하고 그 와중에 용포에 사기 차력, 카피 능력등 데꿀멍할만한 전개가 나오니 독자들은 속터질 수 밖에. 사탄의 환생이라고 짐작해도 캐릭터 자체가 너무 뜬금없고 행동에 명분이 1도 없다."
1964,"최후의 다이스는 욕망을 먹고 자란다, 무영이가 리셋을 시키려는 이유가 좀 더 자세히 밝혀진다등 소소한 떡밥들이 공개됐지만 하나도 흥미유발을 못하거나 이미 독자 대부분이 한참전부터 예상한거라 이젠 댓글에 얘기도 안나옴  
분량은 짧고 미오 사망씬은 또 복붙이고 으으으으"
1965,그만 내려오시는게..
1966,친구 유품인 돈을 주식으로 꼴아박다니... 저런 ㅆㄹㄱ는 죽어야댐
1967,하도 욕먹으니까 이제 아예 김성모 럭키짱처럼 대놓고 컨셉잡은거같은데ㅋㅋㅋ
1968,은주랑 지은이만 내세워도 잘 풀리겠네. 확고한 목표에 동태처럼 비열하게 행동하지도 않고. 지금 동태가 최후의 다이스 얻으면 뭐하겠어. 미오 살려내서 모든게 잘 풀려서 다행이야...하고 질질 짜면서 죽인사람들 떠올리고 후회하는척이나 하겠지. 제발 동태 좀 어떻게 해라. 은주랑 지은누나까지 썰려하고 자기들만 행복하면 오케이란 태도가 정상이냐. 동태미오 커플 답이 없어. 제발 은주랑  지은이좀 보여달라고. 확고한 목표를 가지고 최후의 다이스를 노리는것이 보고싶은거라고..
1969,교도소편부터 느낀건데 그냥 어디서 쭈워들은거 조합하고 결말은 베댓으로 만드는듯..
1970,넌센스인거 적들 복장이 아니라 이번 화 분량인거 실화냐
1971,망상쩌는 남타쿠만화...
1972,"독자 A : 흠... 뭐 볼 웹툰없나? 준의 알람? 재밌어보이는데 한번 봐야지 / 독자 B : 야! 설마 그걸 보려는거야? 안돼 보지마! 큰일난다고! / 독자 A : 먼소리여? 아무 문제 없어보이는데? / 독자 B : 그 웹툰의 작가가 누군지 알아? 악명높은 ""무결사신 양영순"" 의 웹툰이라고! / 독자 A : 그게 뭐야? / 독자 B : 무결사신 양영순..... 건든 웹툰마다 결말을 흐지부지로 만들거나 아예 없애버리기로 악명높은 작가야...! 결말이 없다고 해서 '무결사신'이라는 별명이 붙었다고! 처음엔 잘 연재해 독자와 웹툰을 방심시키지... 그러다 갑자기 웹툰에 '연재중지' 를 날려 독자와 웹툰에 치명적인 타격을 주자, 그리고는 쓰러져있는 웹툰을 땅에 묻고 위에 양파즙을 뿌리며 ""오~옵~ 오오옵~"" 이라는 염불을 말하지! 마지막으로 '믓시엘' 이라고 말하며 유유히 다음타겟을 찾는다고해...!!"
1973,"근데 준우 ㄹㅇ 이해안되긴함 ㅋㅋ
저런 기회주의자 쓰레기,유리에게 트라우마를 안겨준 일진출신인걸 알면서도 단지 ""하민이에게 좋은친구"" 라는 명분으로 지가 물러서는게 옳다고 생각하는건가?
그리고 쟤 태도봐선 절대 ""좋은친구"" 정도는 아니란건 알텐데 ㅋㅋ
 준우 성장은 개뿔 또 지만 낮아지려고하네"
1974,"안녕하십니까 럭키짱 1점만주는 1점러 입니다.
이번화도 반장의 레벨은 급격히 증가하였군요.
선일이와 다른인물들의 레벨은 그냥 듣보잡수준이였나보네요
그리고 또 지겨운 RPG만 하네요 무슨 메이플 하는줄알았습니다.
반장의 레벨을 1로 만드시라는 의미로 별점을 1점 드리겠습니다."
1975,아니멍청한새기들아 이거원래 만화로나온거고 작가님이그려서연재하는게아니라 원고있던거받아서네이버가이따위로올리는거다
1976,현재 비슷한 소재로 압도적인 인기를 끌고 있는 열렙전사 : 템설명만 해도 스토리가 진행되고 라지에의 뿔 관련 내용 말곤 미흡한 부분이 전혀 없음 막힘도 없고 떡밥도 적절한 속도로 회수 및 본인의 전성기 회복중.  더게이머 : 설명하는데만 기본 3화가 소비됨. 페이지 차이 열렙 약 80페이지 분량. 더게이머 40페이지 분량 참 재밌네?
1977,"이게 축구만화라고 치면 /발을 뒤로 빼는 컷/발이 공에 다가가는 컷/발이 공에 닿는 컷/발을 앞으로 뻗으며 공이 날아가는 컷/공이 골대로 날아가는 컷/골키퍼가 무릎굽히는 컷/다리를 펴는 컷/골대 구석 방향으로 몸이 떠오르는 컷/날아가는 공에 집중선 컷/골키퍼 눈에 집중선 컷/관중석 컷/관중석 컷2/벤치 컷/감독 컷/친구 컷/친구2 컷/선수1,2,3 컷/선수4,5,6,7 컷/부모님 컷/기도하는 히로인 컷/주인공 전신 컷/주인공 눈 집중선 컷/공이 아슬하게 들어갈 듯한 컷/적 선수 놀라는 컷/적 감독 컷/상대팀 응원단 컷/공이 골퍼스트에 맞는 컷/주인공 이 악무는 컷/아쉬워하는 응원단 컷/눈물 글썽이는 히로인 컷/좌절하는 친구1,2 컷/아쉬워하는 선수 1,3,5 컷/공이 튕겨져 나가는 컷/ 뭐 이런식임 그것도 고교전국대회 4강 쯤에서 그러는 것도 아니고 도대표 선발전에서 슛 쏠 때마다 그러고 있음. 설명충 더 게이머 리즈시절이 차라리 낫다. 이건 그냥 슬로모션임. 촉수 겁나 느려보임."
1978,네이버 웹툰은 미리보기도 사기전에 별점 보여줘야한다. 그래야 거르던가 하지. 이번편은 좀 심했다
1979,아무리 인생에정답이 없다지만 최소 오답이 뭔진 다들 알지않냐
1980,"스토리작가님 언제 갈등푸실꺼에요
어떻게된게 매화마다 갈등만 쌓입니까"
1981,배댓되면 네이버본사가서 라면 끓이는사람 옆에 김치두고감
1982,이제와서 동태 설득한다는 이유가 고작 '친구라서' .... 은주도 떡락하는구나.. 동태미오랑 연관되는 애들은 다 떡락하네 무영이도 동태 살리는 전개 위해서 뻘짓하고있고 ㅋㅋㅋ 다음은 누구냐? 동태미오 편애질 하려고 이번엔 지은이 떡락 시키게?
1983,"작가님 스크롤 자체는 나쁘지 않습니다
근데 컷사이의 간격이 너무 넓어요 
이번에 자중하고 오신다길래 기대했는데
이러시면 안되요 2주인가 쉬고오셨는데 이런 분량이면 
독자들도 계속 남아있지 않을겁니다
이글 작가님 보시게 올려주세요"
1984,가끔 보면 만화 대충 본 인간들이 동태미오지은 관계를 잘 파악 못하던데 지은이가 동태 죽이려했던건 남남일떄 뿐이었고 동태가 파티 맺자고해서 파티 맺은후에는 쓸개까지 내놓을정도로 헌신함. 그런 파티에서 동태가 배신해서 지금의 상황을 만든것. 미오쪽은 애초부터 미오가 선시비 걸었고 그럼에도 불구하고 지은이는 미오를 도와줬음. 근데 힘들어서 찾아갔을때 미오한테 배신 당해서 죽을뻔했음. 이 관계를 제대로 파악 못하는 사람이 많더라구요
1985,1억만번 용서해서 댓글삭제는 뭐라 안하겠음. 쨌든 규정은 어겼으니. 근디 블레이드노트를 통째로?? 웹툰을 통째로 없에버린다고? 네이버 ㅅㄲ들..정떨어진다
1986,지은이가 딱히 잔머리 굴리는게 아니라 먼저 재앙이 만난 은주가 설득 해보려하지만 답이 안나올때 늦게 온 지은이가 재앙이 공격하려는 큰그림임. 지은이를 통해서 동재앙은 회생불가라는걸 보여주려고
1987,블레이드 노트는 왜 지운거냐 도데체
1988,난 이게 왜 총점 9.63인지 모르겠네 맨날 8점 밑으로만 받으면서;; 또 재미도 없고 쓸모 없어 보이는데 계속 연재 허가를 하는지 참..
1989,등록금으로 비용 충당한다는거 웃으면서 얘기하는거 보고 뒷통수를 한대 딱 때리고싶었다.....등록금이 애들 장난인 액수인줄 아나....아무리 어리지만 진짜 철없다 너무싫어 저런 인간들
1990,은주야 예전부터 동태미오한테 많이 도움 받았기라도 했지 젤불쌍한게 지은누나. 얘는 동태랑 자기 괴롭힌 미오 도와주고나서 보답은 한번도 못받은채로 동태한테 죽일놈 취급당하고 있음. 그것도 자기 배신한 미오 살린다는 명목으로..
1991,이러한 작품들이 많아지면 실력있는 베도 작가들은 다른 웹툰 플랫폼으로 떠날것입니다. 그럼 당연히 독자들도 떠나겠죠. 결국 몇십년동안 지켜낸 웹툰 플랫폼 1위 네이버는 이제 그 자리를 내려놔야할 것입니다. 그래도 괜찮다면 계속 이런 작품 가져와보세요.
1992,"아... 한남 메갈 ㅇㅈㄹ떠는 거 진짜 그만 보고 싶다..
다들 분노로 눈이 먼 것 같음"
1993,"들어온다 -> 베뎃을본다 ->  스크롤을 쭉 내린다 -> 1점을준다
-> 나간다"
1994,애기는 차라리 입양시키는게낫겠다. . . 저런 미성숙한 부모 밑에서 자라는것보단 나을거같아
1995,"""전문가의 의견이라 신뢰도가 많이 떨어져."" 
-259화 God's lover(64) 中-"
1996,"작가 정신차린거 하나있네
원래같으면 인공고렘 만드는거 하나하나 보여줬을텐데
한꺼번에 88개 만들어놨네"
1997,"페미코인탄건 둘째치더라도 니들은 스토리 진행 자체가 개판인거 못느끼겠냐? 저번엔 5백경대를 다 쓸어버리고도 고산 모가지 냅뒀으면서 이제와서 백경대 만들면 자기들이 위협받는다고 경고하는게 이해가 되냐ㅋㅋㅋ 그리고 바로 전화 마지막, 이번화 첫부분에선 퀑딜러 급하게 도망치는데 막상 잡히니까 뻔뻔하게 쏘아붙이고 유유히 빠져나감ㅋㅋㅋㅋㅋ 그럼 애초에 왜 도망친건데? 처음부터 포커페이스로 마왕네 책사 조지던가ㅋㅋㅋ 컷은 왜 낭비한거냐? 그리고 마왕네 책사는 바보냐? 기껏 쫓아놓고 존나 수상하게 도망치는데 걍 보내줘?ㅋㅋㅋ"
1998,그림작가님 부당하게 그림을그리고 계신다면 다음화에 골렘 그려주세요
1999,"그냥봐라 스토리진행상 주인공이 말리는부분있어야된다...하시는분들 용포는 신의물건인걸 아셔야합니다. 진모리도 최정상일때 스피드모드쓰고 헥헥거리면 힘들어했습니다. 하지만 딘은 체력소모는커녕 아무런 리스크도없습니다. 그리고 그 강하던 휘모리조차 본체의 진모리의 오리지널 여의를사용하고 육체가 붕괴되었습니다.  제말은 용포와 여의가 차이가 난다고 하여도 인간이 신의물건을 사용하고 리스크간없는건 밸붕이맞습니다.
열심히 썻는데 제의견과 같으신분들 작가님과 독자분들보실수있게 따봉좀부탁드려요ㅠ제발 베뎃보내주세요ㅠ"
2000,미오쩌둥 안나오니까 스토리는 조금씩 폼을 되찾는데 느린것만 좀 개선되면..
2001,쿠키야 내가 미안해ㅠㅠㅠㅠㅠㅠ
2002,용제 9년 연재하고 집에 갈래?
2003,한달동안 안봤다가 보면 그래도 분량 쫌 되겠지 하고 봤는대 4편이 1분도 안돼서 끝났네;;
2004,휴제하시고 결말가시죠 매주 이렇게 하는건 정말 아니라고 봅니다 아니면 동태죽고 지은이 주인공 가시죠 
2005,"저 내용이 짤릴 필요가 있는거냐 ㅋㅋㅋㅋㅋㅋㅋㅋ
참 그분들 심각하다"
2006,까만잉크님 왜 베댓 내려가셨지 나혼자 머쓱타드네
2007,1점줬는데 별점 올라감 범인 자수해라
2008,다음주가 300화입니다. 한동안 발암듀오가 실컷 망쳐놨으니 다음주에 항암커플 등장합니다
2009,아직 지켜봐야할듯십지만 솔직히 작붕은 커버가 안되네요
2010,"40화에 애낳는다고 말한 사람 여기 등판했어요 하도 댓글들이 답답하다 답답하다 이러길래

 나중에 보라고 태국기준으로 애낳는화인 40화라 말했죠 

참고로 태국 3화짜리 분량이 한국1회 분량입니다  

 "
2011,무엇보다 여주가 루시퍼를 왜 만나려는지 1도 이해안감.
2012,우기명이라는 캐릭터은 연속성이라는게 없다. 작가가 살면서 느낀 다양한 감정을 시간적인 순서에 상관없이 우기명 하나에 죄다 우겨넣다 보니까 어쩔 때는 엄청나게 철들고 멋있는 사람이 되어있다가 다시 엄청나게 찌질해져있다가를 반복한다. 흔히 말하는 캐붕의 대표적인 예인데 우기명을 이해하려고하기 보다는 작가가 싸이월드 일기를 만화로 표현하는구나 정도로 생각하고 이 웹툰을 보면 보다 편하게 이해할 수 있다.
2013,"그리고 부품으로 그냥 사는거라고? 어차피 다 부품으로 살아가고, 단지 역할과 크기만 다른건데 난 대체불가능한 부품이니까 만족한다고? 아니 왜 결론이 이따위야 ㅋㅋ"
2014,이게 과연 대포통장의 결말인가 태준작가님이 실수한거길 바랍니다
2015,작가야 사람이라면 지은이는 좀 구제해줘라. 이런 캐릭터를 등장시켰으면 적어도 무슨 생각이 있을거라 믿어본다. 영상 찍은놈이랑 우연찮게 다시 만나 피의복수를 한다던지 뭐 그린거 있잖냐...
2016,아직도 동재앙 쉴드치는 혐쉴더들때문에 팩트 오지게 박고 간다) 동태가 사이코키네시스를 날리고 클로킹이 대웅인지 은주인지 지은인지 고민하기 전부터 이미 전화기 너머로 은주지은의 대화가 오고갔었음. 고로 전화 너머로 들리는 소리가 동태에겐 전달되지 못했다는뜻. 전화통화 이후에도 동태가 누구인지 고민한걸 보면 누구인지 모르고 키네시스 쏘면서 추격하고 있는게 맞음. 애초에 피아식별 못한채로 키네시스 쏜것부터가 지은주던 누구던 죽이려 했다는게 팩트. 물론 동재앙 포장하는 작가라면 담주에 억지전개 할 가능성 높음.
2017,근데 이건 시ㅡㅂ 그냥 반장이 나오는걸 떠나서 재미가 ㅈ도없잖아; 내용이 이게 뭐냐
2018,부산애들은 놀이공원 한번도 못가본지아나 왜 이런식으로 표현함?
2019,남주한테 할말없어야 정상인데 여주는 이상황에 화만내고 진짜 인성쓰레기다.... 본인이 말안하고 1년가까이 잠수탔으면 어쩔수없는거지 남주피해서 이사까지 가놓고 본인힘든거 알아달라니 미친거아냐;;
2020,이 정도 독자 반응이면 네이버에서 내릴때 됐는데
2021,용왕이 잘생겨서 1점 주고 갑니다
2022,필연같은 소리하고 있네 대놓고 찌질하라고 만든 대웅이보다도 찌질한 섹긔가
2023,아니 동태지켜주다가 무영이 썰리니까 무영이 걱정하고 또 무영이가 동태 공격하려 하면 또 커버쳐주고 태빈이 무엇;;?
2024,작가님한테 진짜 죄송한데....계속 읽어도 캐릭터들 혐오스러움....
2025,아니 꾸준한 연재는 당연한 거고ㅋㅋㅋㅋㅋ뭘 자꾸 사과 대신 꾸준한 연재를 해달래 이 두 개가 절대 서로 같이 할 수 없는 것도 아니고 당연히 2개월 휴재한다던 걸 13개월 동안 양해글 하나 없이 독자들 기다리게 했으면 하다 못해 작가의 말에라도 죄송합니다 한마디는 있어야 하는 거 아냐 뭐 많은 걸 바라는 것도 아닌데
2026,"제우스가 X밥이라기엔 김두식이 그땐 그냥 쳐발렸고 지금은 처맞으면서도 후드려패고 있으니 X세대 팀이 제우스보다 쎈 건 아니지만, 문제는 독자들이 오랫동안 봐서 익숙한 강자를 갑툭튀한 잡것들이 잡는다고 설치니까 욕을 먹는 거임. 아무리 딘을 통해 X세대를 띄워주려고 해도 결국 X세대 운운은 독자들한텐 설정놀음일 뿐이고 쎄다고 해도 딘 하나밖에 보여주지 않았는데, 뜬금없이 듣도보도 못한 애들 X세대라는 타이틀 하나만으로 오지게 버프를 쳐걸어주니까 납득을 못하는거지 독자가"
2027,"일어났어야 할 일
1. 은주가 석순이 타임포즈를 먹었어야함
2. 동태가 시간 되돌려서 초기화 했어야함
3. 미오가 그냥 죽었어야함"
2028,럭키짱 1점 위원회가 말하길 웹툰 배댓이 다른 내용으로 가득차있으면 망한거라고....
2029,"동태 하는 짓이 정석순 판박이다
여자에 미쳐서 최후의 다이스로 여친살리겠다고 지가 도와달래서 도와준 은인 다이스 뺏으려함ㅋㅋㅋㅋㅋㅋ
이럴거면 석순이가 다 죽이고 최후의 다이스 얻지 ㅉ...
"
2030,더러워 진짜
2031,아니 마지막 배뎃 컷수가 적다는게 아니잖아 20컷만으로도 충분히 많이 본 느낌 줄수있는건데 40컷 중반인데도 내용 진전이 없다는걸 말하고 싶은거고 억울하다는거다
2032,"얼떨결에 베뎃..명예훼손같은거로 고소올거 각오하고 웹툰썰도 쓴다

사건의 시작은 성상영이 자신의 작품중 하나인 마법사의 탑 이엿나? 그 작품을 만화로 만들생각을 하면서 시작됫어 그림작가를 구하려고 어느 카페에 글을 올렷거든? 근데 그당시 수입배분이 7:3이엿어(오해할까봐 말하는데 작가님이 7이야) 문제는 소설만 주고 콘티는 하나도 안줫다는거지 당시 댓글들에의하면 콘티를 줘도 그림작가가 7을 받는게 맞다는거엿어 안주면 9:1이고(그림작가가 9)그런데 콘티를 주지않앗음에도 자신에게 7을 배분하겟다고 한거지 이에 카페회원들은 화가낫고 많은 말싸움끝에 작가님이 내건조건이 6:4야 (작가님이 6 그림작가가 4)그리고 그걸본 회원들은 한층더 화를냇지 이게 일명 성상영 웹툰 썰 이야(이건 베뎃못가겟지?)"
2033,"난 오늘편이 무슨의미가 있는지 모르겠다. 지금까지의 백경대는 저 관례를 따르지않았을텐데? 전 패왕의 자음경호대도 불법이니만큼 당연히 최대한 긁어모았을테고 아오리카도 그럴꺼고 현 마왕팀도 그 누구도 2:8전력을 쓰진않았는데 이제와서? 아니 다른조직은 몰라도 백경대는 공자,가우스,롯 이런 유니크네임드를 제외하고 8우주 6천 하이퍼중에서 상위 4등~104등 대충 이렇게 꾸렸던거아님?"
2034,다들 특이한 신체부위 없어지는거면 동원이는 대가리 잘리나?
2035,"아니야! 안 돼! 안 돼! 더 이상 완결을 기대해선 안 돼. 얼마나 허무한 짓거린지 잘 알잖아. 
......
그 ... 그래. 마지막으로 딱 한 화만 ..."
2036,스토리가 너무 별로다. 뭔가 자연스럽게 이어진다는 느낌이없어. 그림그리기는분이 너무 아깝다..그림체가 이렇게 이쁜데
2037,다른나라대통령을 함부로 막그리지말자는거지 박근혜대통령 까도된다고 한적 없는데
2038,아니 애초에 어떤 애엄마가 애 안키워본 만삭인 임산부한테 돌된 애를맡겨....???
2039,아이돌빠에 납치 감금에 몸에 폭탄박고 협박까지 그냥 씹극혐 덩어리인데 이걸 실드치는 건 뭐냐
2040,ㅅㅂ 나루토 신수냐 자거 다 빨아드리면 뭐 갑자기 10미 나오고 그다음에 저거 흡수 하는 애 나와서 난세가 물리치면 나루토하고 판박인데
2041,"그냥 교통사고 나서 우기명 죽는 걸로 완결내라... 웹툰은 연재하기 전에 대강이라도 스토리 라인을 잡고 시작해야한다. 매주 즉흥적으로 스토리를 짜는 게 아니라 하일권 작가님 웹툰 한 번 봐라. 그 분이 그린 작품이 즉흥적으로 스토리를 짜는 건 지 아니면 연재 시작 전부터 시작, 전개, 결론까지 각 잡고 스토리를 짜는 건지.... 소설가들은 한 편의 소설을 완성시키기 위해서 자기가 만족할 때까지 다시 쓴다. 그래서 아무리 보잘 것 없는 소설가라고 전개의 비약이 없다. 근데 기안이형 형은 뭐야 대체? 이딴 만화 그리면서 앞으로 밥 벌어 먹겠냐? 솔직히 복학왕 보는 것도 패션왕 때 남아있는 향수 때문에 보는 거지 형이 우기명이라는 캐릭터 안 팔아먹고 계속 만화 그릴 수 있겠냐? 방송하는 거?? 막말로 ‘나혼자산다’는 트렌드를 잘 이용해서 인기 얻은 방송인데 그 트렌드가 한 물 지나면 계속 방영하겠냐? 나혼자산다가 종영하는 순간 네 방송생활은 끝이다. 정신 차리고 만화 그리자"
2042,"아니 ㅋㅋ주인공 흑화하는건 웹툰의 클리셰중 하나라 욕하는사람, 비판하는 사람, 쉴드치는 사람, 공감해주는사람...등 뭐 여러 사람들이 있는데 하도 진행이 쳐 느려가지고 맨날 제자리걸음이라 동태 쉴드치고 싶어도 칠 거리가 안보이네... 생각해보니 은주 지은이가 pk하는건 묘사가 잔인하게 노골적이여서 강렬하게 뇌리에 박히는데 동태가 pk한건 진짜 흐르는 강물이 바위를 스치는마냥 별거 아닌거처럼 묘사돼서 인지못하고 있었네..."
2043,주인공들이 잔머리 굴려서 플랜 짜는거 보니까 통태놈 진짜 싸이코빌런 그 자체네 ㅋㅋㅋㅋㅋ 은주 계획속에서 그려지는 동태 모습 봐라 ㅋㅋㅋ 은주 본인도 동태를 ㅆㄹㄱ처럼 묘사하고 있으면서 설득하겠다는게 아쉬울뿐
2044,혜민이 말이 다 맞아
2045,"아니 진짜 궁금한게 자기가 연락했다는 사실을 잊은건가? 진짜 극단적으로 단순한 캐릭터를 가져다놓았으니 고구마밖에 안 나오지. 단순한게 귀여움이 아니라 역겨움으로 표출됨. 남주는 그렇게 매니저 말 안 듣고 매일 윗통까고 다니다가 큰 일 나니까 이제서야 질질 짜는것도 역겹고, 뭐 이제는 매니저 말 잘 들을것 같더니 바로 독단행동하고 또 일 키우는 것도 역겹고, 저번엔 소속사가 간섭안해도 된다고 텅떵건디더니 큰일난것 같으니까 소속사 뒤에 숨는 것도 역겹고. 이쯤되면 스토리작가 연령이 의심스럽다."
2046,내가보기엔 작가가 미오가 안나오는 파트니까 그릴 의욕이 없는것같음. 미오 퇴장하고 컷수도 갑자기 줄어들었음. 지금가지 보면 작품 망쳐가면서 미오만 밀어주려는게 보여서 무슨 패티시도 아니고
2047,진짜 사귀고있는 친구남친 뺏은것도 아니고 왜 죄인취급해 미쳤나봐
2048,아니 진짜 너무 불쌍하잖아 저건;;
2049,작가님 시나리오가 이상해요
2050,아니야 중요한건 작가가 정신 못차렸다는거지
2051,"전 화에도 말했지만
뭔 스토리든 독자들이 공감할 수 있는 영역이어야지
초천재가 실제로 본적도 없는 연예인에 빠져서 사람 감금해서 저 난리치고 있는데
주인공 매력은 얼어죽을 그냥 정신병자 같음

덕질하는게 불편한게 아니잖아"
2052,작가 또 은근슬쩍 동태 포장 하려는게 보이네... 은주가 동태에게 고맙단 말 충분히 했냐는 고뇌를 왜 함? 정주행 하면 충분히 했을뿐더러 은주가 동태를 위해 목숨 건것도 한두번이 아님. 어떻게든 은주에게 마음의 짐을 얹으면서 동태에게 적대감을 안지게 하려고 술수 쓰시네 ㅋㅋㅋㅋㅋㅋ 와 진짜 동태랑 미오 포장 왜이렇게 하냐
2053,어설프게 섞으니까 대단히 유치하네요 ㅋㅋㅋ
2054,"대체 저기서 왜 뛰어감 ? 새로운 여자가 사귄다고 하더라도 “ 니 애 낳았어” 이러고 가는 게 더 타격이 크지 않나 주인공도 어쨌든 성인인데 너무 생각이 중학생만도 못 한 것 같음 ,,, 아무리 회피형이어도 애 가진 10달동안 피해왔으면 이제는 이야기 할 만 한데 참 ㅋㅋㅋㅋㅋ "
2055,"아무리 늦어도 스토리가 좋아서 기대했습니다.

배경이 인성나쁘다해도 기대했습니다.


..기본적으로 올라오는 시간에서 12시간이나 늦으신건
아니라고봅니다.

이건 좀 아니잖아요."
2056,"베댓들이 여기서 분량이라고 말한 건 컷수가 아닙니다. 스토리 내용/완성도/진행을 말하는 거죠. 지난주 베댓, 지지난주 베댓, 1달전 베댓 다 같은 말을 해 왔어요. 저도 예전에 베댓할 적에 한시도 다르잖은 말을 했더랬죠. 오늘 화 좀 보세요. 한지한 스스로도 인정하죠. ""친절히도 설명해주네."" 주인공 스스로 인정하는 걸로 어물쩍 넘기려고 하는데, 이 작가 아니 정확하게는 스토리글작가 변화라는 게 없습니다. 검막 같은 고민은 보여주지 않았던 모습인데요, 이번화로 하여금 본대로 돌아왔어요. ""그렇지 않니 내 딸아?"" 세상에 어느 엄마가 딸내미한테 저렇게 말합니까?? 저걸 극적인 반전이라고 구상해서는 배치해놓은 건지 와 속상해요. 그림작가님 그림과 이펙트들은 예전에 비해서 월등히 늘어났어요. 물론 그림작가님한테 책임잘못이 전혀 없는 것은 아닙니다. 가령 인물수를 늘려달라 요청하면 글작가는 당연하게도 고민이 많아지게 되는데 그러한 요청의 느낌조치 없으니까요. 하차 하렵니다 완벽히."
2057,"더 게이머 만드는 법
1. 그림작가한테 소설을 던진다
2. 그림작가가 다 그린거 업로드
3. 개꿀"
2058,아니 별점보다보면 9.8~9되는데 갑자기 확 6이돼버림
2059,어리석은 생각이었다. 이것은 게임이아니다 그런 게임속이 아닌 현실공간에서 반장을 죽음으로 내몬것은 나의 잘못된 판단때문이리라 결코 나도 반장처럼 되지말란 법은 없다. 이곳은 어비스니까 그러나 이 죽음은 결코 나의 책임뿐이 아니다. 현실에 적응하지 못하고 어비스에 들어설것을 다짐한 것은 그녀 이런 상황쯤은 각오했으리라 그녀의 죽음을 매도하는 것은 아니다. 그러나 슬퍼하지않겠다. 냉정하게 판단하고 행동하리 이 어비스라는 공간에 적응한 이상 그럴 수 밖에 없다. 반장은 죽고 말았다.
