,high_comment_False
973,우쿠렐레 올린거 문제되는건 아니겠지...
974,고장난 유정은 우주최고존엄존귀탱씹덕입니다......
975,OOOㅈ 설이 실수고 나발이고 이후에 벌어지는 모든일들은 100%가해자인 오영곤 탓임
976,ㅋㅋㅋㅋㅋ이성끼리 있으면 무조건 사귀는거임? 기레기 이성친구도 없고 모쏠인가봐ㅠㅠ 생각하는 마인드 완죤 구닥다리ㅠㅠㅠ 하여간 어떻게든 뭐 하나 터뜨리려고 발악을 하는구나ㅋㅋㅋㅋㅋㅋ
977,"아니 근데 남주연 너무 대놓고 얼빠아니냨ㅋㅋㅋㅋㅋ처음에 유정 좋아하게 된 이유 설명하려고 운 떼길래 뭔가 특별한 계기가 있었나 하면서 봤는데 얼굴 딱 나오자마자 ""그때부터 좋아했어""ㅋㅋㅋㅋㅋㅋ하지만 유정 얼굴이라면 100%이해...."
978,안돼 이녀석 엄청 마음에 들어
979,진짜 남이 따라하는게 사소한거같지만 엄청 신경쓰이고 짜증남 괜히 말 꺼내봤자 나만 유난떨고 쪼잔하고 피해망상에 찌든 이상한애 되버림 
980,얼굴안보여주는거보니 황요아니네
981,준아 너 표정이 왜 그래?
982,아니 조별과제로 연락하는건 다 씹고 저딴걸로 설이 얘기하고 다니는거 무엇?
983,"뭘 어케 엮으려는 게 아니라, 얘네는 연인 사이었으면 진짜 지지고 볶고 서로 갈리게 하면서 연애하다가 현타 맞고도 못 끊어내는 그런 연애를 했을듯.. 둘이 진짜 상극인게 인호가 뭘 어떻게 굴어도 인기가 많은 건 선이 없어 트라우마 부분은 극소의 부분일 뿐 그전에는 남 돌아볼 줄도 모를 정도로 스스로 선이 낮음 그에 반면 정이는 진짜 거미줄 같이 모든 부분에 결계와 선이 다 쳐져있어서 쪼금만 다가서면 심사 뒤틀리게 하는 거 그래서 너무 다르니까 서로 인간적으로 끌렸던 게 있지않나 싶기도 하다"
984,설이가 웃는거에서 왜저리놀라나했는데 평소에 자신이 애들조종하고나서 웃는거랑 같아보여서 그랫나
985,왜 나는 녹차맛이 아니라 개구리맛인줄 알았을까
986,"세나카가 한 못된짓 하고싶다 라는말
지난번에 히아센이 했던것 같은데...."
987,정이는 본인목적을 위해선 설이의 거절못하는 성격도 이용하는데.. 인호는 설이 거절못하는 성격 알아서 미리 선 그어주고 심지어 장난쳐서 심각하게 생각치 않게끔 해주네.. 거칠지만 기본적으로 따뜻한 사람인 게 느껴진다..
988,내가 연애를 안해봐서 그런건가 그럼 설이가 동네에 변태가 돌아다니는데 남친이랑 신의 지키자고 혼자 저 골목골목을 돌아서 왔어야 한단 말인가.. 물론 정이한테 전화한다는 선택지도 있지만 애매한 상황이었잖아ㅜㅜ
989,하.. 백인호 지금 설이 빼고 다 꼬셨다
990,"내가 기우제를 지냈다.. 원고를 하려고 컴퓨터를 켠 그 시점에서.. ! 그리고 성공했지..

어떤 느낌이냐 ? 비로 인해 삭신이 쑤시는 느낌이 !

너에게 고통을 주는데에 단 1초도 허비하지 않겠다 !"
991,"""타인의 고통으로 나의 고통을 위안하려는 시도는 슬프고 끔찍한 일이다. 타인의 고통과 나의 고통은 비교하면 안 되는 것이다. 고통을 비교할 때 고통은 물건처럼 대상화되고 수량화된다. 수량화될 수 있는 고통이란 없다. 고통은 누구에게든 절대적인 것이다."" - 김수정, <그림은 마음에 남아> 발췌"
992,결국엔 롬파일 뜯는 놈이 맞았고 컨티뉴랑 할배는 서로 의견 주고받다 보니까 뭔가 가면 안 되는 중요한 것까지 간 느낌이네. 그렇지 않고서야 할배가 고스톱 패 쓰는 능력이 갑자기 생길 일이 없으니까
993,와 가발인거 이렇게 티나게 그리는거 진짜어려운데.. 역시 작가님 최고bb
994,아.. 인호.. 짠하다 ㅠㅠ 옆에 누가 있어주면 좋겠다 근데 실상은 옆에 또라이 짐덩이 인하밖에 없고 ㅠ
995,아니 그럼 아이리는? 아이리는 다른 사람의 영혼으로 살아있다는거임??
996,유정이 제 방식으로  사람 엿먹이는  게  이해됨.  저렇게 치졸하게 나오는 인간들  상대하려면   유정 방식이 최선인듯...
997,내가 유정이라면 앞구르기 500번 하면서 봐도 거짓말이라는 거 알았을 거 같아..
998,"와 작가님 대박..
남자한테 관심이 없어서 생김새를 유심히 안보는걸 저렇게 표현하셨네.."
999,크아악 내가 다 쪽팔려;;;
1000,아내가 봤으니까 감옥행이나 아니면 아내도 죽이고 다른애들 대리고 나가는전개인건가? 작가님 쿠키는 있는데 왜 받질 못해요...ㅜㅜㅠ
1001,비폭력 잠입과 be폭력 침입의 차이려나...
1002,헐 막컷 오베이흐?????????????
1003,어우 꼴보기 싫엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1004,와 따라갈걸 그랬나라니 지 때문에 사람인생 망가지는거 즐기는 인성파탄자 싸이코 새끼 아녀ㅡㅡ
1005,"이젠 마약까지 복용 시킬라했네 토끼놈들
열심히 살고있는 사람을 죽일라하지않나
애를납치해서 키우고 약까지 먹일라하네
이정도면 악당 아니냐"
1006,도운이 질투하는건 아닌것 같아요... 지금 지존이 되기전 가장 강력한 라이벌인 세자의 호위무사한테 좋은 감정이 있다는것은 도운이 볼때는 당연히 걸리적거리는 장애물이나 다름 없습니다. 감정에 쉽게 휘둘리는 홍련이 더 좋은 감정을 갖기전에 제거하려는듯 하네요. 도운이 검무합좀 맞춰줬다고 질투할것같은 캐릭터도 아니고요ㅋㅋㅋㅋ
1007,다정이랑 같이온사람 두명 중 파란옷 입은 남자가 뒤에서 찌른거같네요 하얀 셔츠입은 사람이 하준이 업고 나가는 컷에 칼들고 있음 
1008,분위기는 심각한데 승상 울망울망 주건이 고롱고롱 넘 귀엽자낭!!
1009,아 고ㅑㄴ히 결제햇ㅅ네 춘배 저 표정 보고 어떻게 일주일을 참냐 다음주에 결제할걸 아
1010,"할머니 : 좀비한테 친구라니?
아빠 : 엄마한테 친 구라에요.
할머니 : 이상한 드립 밀지 마라."
1011,인하는.. 물리적으로 버려지는 것 뿐만 아니라 정신적으로도 ㅜㅠ 자기는 꿈잃고 방황하는 18살 그대로인데 주변은 다 성장하니까 그것마저 자기를 두고 가버리는걸로 느껴지는듯. 인호가 어른스럽게 행동하니까 상처받은 표정이네
1012,내가 봤을땐 저거 전에 사생팬이 후준이 근영이 업고간거 도촬한 사진 아닐까요
1013,ㅜㅜㅜㅜ춘배티콘 너무 갖고 싶으요 작가님...
1014,구웅ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1015,사수야 만나서 반가웠고 앞으로도 보지 말자~
1016,"갈림길6화에서 은지동생 먹히고 동생처럼 말한거 보면, 의사소통이 되는게 아니라, 그냥 먹은사람 말투 따라하는거 아님?
사일런도 귀신이랑 눈마주쳤다가 아빠가 먹힌거고.. 막컷도 귀신쳐다보지 않고있잖음"
1017,김서방이 왠지 저때 죽은게 아닌것같음ㅠ
1018,이젠 제가 얼마를 결제했는지 알고 싶지 않아요...
1019,"아이들이 마을에서 쫒겨나거나 최악의경우
 마을사람들이 다 죽는다는 떡밥이 나왔네요..
모르는 아이들 부모님 찾아주려고 애쓰는 착한 
어른들인데 다 죽어버리면 마음이 너무 안좋을거같아요
오늘도 빠르는 멋있네요"
1020,왜 아무도 바름이가 유연이 약속 거절하고나서 친구들끼리 남자친구도 계획대로 만나냐고 한 거 떠올린 거 언급 안 해 ㅠㅠ 유연이를 엄청 의식하잖아 바름이가 ㅠㅠㅠ 드디어 ㅠㅠㅠ 유연파 모두 일어나 춤춰주세요ㅠㅠㅠ
1021,ㅠㅠㅠ 아씨 작가님 이러면 준혁이를 미워할 수가 없잖아 ....ㅠㅠㅠ 진짜 도은 준혁 너넬 어떡하면 좋냐 .... ㅠㅠㅠㅠㅠ
1022,와중 통학 왕복 세시간반 눈물난다.... 안해본자는 모른다는 그 고통.....
1023,아 이런거구나 간단하게 미래댓글 쓰는법 알려드리겠습니다. 위에보면 이전 화수랑 똑같은 숫자가 있죠? 그 숫자를 원하시는 화수로 바꾸면 그 화수로 가집니다. 물론 네이버가 웹툰을 올려놓지(?)않았으니 만화는 안보이지만 댓글은 쓸수있는겁니다. 저도 ㅈ문가 한번 되봅시다 .물론 카더라에 네이버에서 언제든지 막을수 있는거지만
1024,철수도 놀랬겠다.. 동생 데리러 왔다가 은정이 몇년만에 본거자녀..
1025,사장님 인성이 부처핸섬급인데...?
1026,아..  중간 연출 지렸잖아... 너무 훅 들어오는거 아닙니까ㅜㅠ
1027,5화에서 주인공한테 대사제 찾아가라고 한 것도 진짜 아빠가 아니라 아빠인 척 한 사람이지 않았나.. 
1028,도희 보다보니 그냥 쾌활이인데 주인공은 원래 로맨스 필승이라 어떡하냐 도희 괜히 안타깝네
1029,확실히 일리는 있는데 참 말을 패고싶게 하는구나...
1030,"와 1부 30화에 김상철이 유정 뒷담화 깠을때
뭐 새삼. 이러는데
여기서도 상철이한테 같은 말 쓰네 ㅋㅋㅋㅋ

한결같은 새삼 ㅋㅋㅋ"
1031,카스처럼을 준비하라
1032,베댓님 우연이가 아니라 유연이입니다ㅠㅠ
1033,아..눈물나 진짜ㅜㅜㅜ 왜 항상 노력하는사람들만 희생해야하지..
1034,홍련왕녀의 라이벌은 애초부터 세자가 아니라 양도운일듯
1035,저런 혜진이 한테 은주가 버텼다니 ㄷㄷㄷ 사실 잘못한거 없고 올곧게 살았으니 버텼지 은주가 좀만 그릇된 인생 살았으면 아주 물려 뜯겼을 듯 ㅋㅋ
1036,송골매 귀신이 살인마 해치는거 알고 일부로 처음에 놓아준건가...
1037,예상했다는 말조차도 닮아간다는 느낌이 드네
1038,조교야 ㅠㅠㅠㅠㅠ 허조교ㅠㅠㅠㅠㅠ 우리 역대급 피해자ㅠㅠㅠㅠㅠ
1039,홍설의 유정화!!
1040,내말이
1041,이화만보면 속시원해짐ㅋㅋㅋ
1042,할아버지 안전하게 모시겠습니다!(제발!)
1043,"왜 도은이 얘기는 하나도 없지... 바름이랑 고딩 때부터 친구고 대학까지 같이 올 정도, 같이 콘서트도 가고 내가 볼 땐 정말 믿는 친구 같은데 도은이 잘못이 좀 있는 것 같다... 아무리 남친이랑 헤어진 직후라 예민하다고 해도 바름이한테 그렇게 해야겠냐고... 바름이도 주혁이랑 도은이 일로 엄청 신경 쓰고 있는데... 서로가 예민해서 터져버린 것도 있는 것 같다만 도은이가 좀 예민해진 듯"
1044,웹툰에서만 학원에서 남자들이 원조니 창X니 욕하는거같죠? 남녀공학 학교에서는 일상임; 저번에 대학교에서 여자 외모 등급매긴것만봐도 답 나오죠? 얼평 몸평 성희롱 하루라도 안하는날이없음 진짜
1045,"다른 사람은 인하의 외모만 보는데, 재우는 인하가 뭘 하고 싶어하는지 본다...저게 트루러브임"
1046,"악력이 60kg이요...?
팔씨름하면 상대 손 으스러지지 않아....?
그걸로 산삼 쥐면 터지지 않냐...?"
1047,"진심 궁금한게 있는데

빠르랑 무케가 멱살잡고 토욜 웹툰 캐리 중인데 왜 1위 아니냐"
1048,"PTSD 외상후 스트레스장애 
자연재해,고문,전쟁사고 등등 사람이 충격적인 사건을 경험한 후 발생할 수 있는 정신 신체 증상들로 이루어진 증후군"
1049,설이 눈치 진짜 오지고.. 설이나 정이나 학교에서 인간관계때문에 피로감 느끼는거 되게 겹쳐보임
1050,아냐 그쪽 아냐 진짜 후회하기 전에 제발 멈춰 무기야...
1051,엘사도 센도 없는 학교인데 줄리아를 보여주는거 보면 줄리아도 뭔가 역할이 있을것같은데 그건 뭐일지 궁금하네요 세라도 학교 안 나올것같은데 뭘까
1052,"가우리한테 임상시험
 빠르 잔머리 어디 안간네 
단약 먹자마자 0.1초도 안걸려서 가우리 멀쩡해진 거 보니 단약 먹고 앞발 나은 빠르 날라다니겠네"
1053,암주가 누구한테 성질 더럽다고 할 수 있다니..하난이가 필요할듯
1054,아니 도령이 거기 왜 껴?! 
1055,탁무이 명예소방관 시켜줘......
1056,골매는 모든걸 알면서 모르는 척 하는 걸까 아님 진짜 모르는 걸까
1057,친하다고 여겼던 백인호한테 이상한 놈이라는 이야기를 들은 유정이 제정신일수 있을까 ㅠㅠ... 친구 사이의 장난이라도 그 단어 자체에 대한 트라우마가 있는 애한테... 물론 백인호는 그걸 모르고 있으니 피장파장이긴 한데 참 안타깝다.
1058,대진운 최악의 잔월대마
1059,와 명영이도 오지게 똑똑한데 갑연이도 진짜 개오지게 똑똑하네 
1060,검성이 전직 로얄가드를 잡는데 성공했는데 보상 없나요? ㅋㅋ
1061,아 이웹툰은 너무너무 좋은데 결말은 배드엔딩이라는 것을 알고보니깐 밝은장면 나올때마다 뭔가 가슴이 먹먹하네...
1062,레나 당신 독설인데 맞말이야.... 까이면서 배우라는건가 세상 레나님 되게 뭐랄까 무자비해보임ㄷ
1063,인호한테 무례하다고 너무들 그러지마요ㅠㅠ 미안해할줄도 알고 설이생각해서 노트필기도 혼나가면서 받아다가 복사해주고 인하가 잘못한거 대신 사과도 해주는데 그렇게까지 독자들이 미워할만한 캐릭터는 아니에요
1064,내.. 내 쿠키 325개.. 이럴꺼면 단행본을 살껄... 그럼 이만 전 쿠키 구으러
1065,"저런사람이 제일싫다. 신경 다긁어놓고 화내면 장난친거가지고 왜 화를내냐며 되려 정색하고 화내는사람들. 결국 자기는 장난친건데 상대방이 속좁아서 장난을 장난으로 못받아들인다...같은식의 자기위로형 논리 
남일같지 않아서 정말보기싫네"
1066,개멋있다.... 저 마지막말로 제대로 안하면 구웅이 유미랑 헤어질 수도 있다는 여지를 남김ㄷㄷㄷ
1067,왜 아무도 새치이야기를 안해 저번화에서 우리가 새치애기하니까 작자님이 ㅋㅋㅋㄴ
1068,헐 개공감ㅠㅠ
1069,"내 생각엔 나중에 윤주 쟤도 현이한테 마음을 열거같긴 한데, 그래도 싫다"
1070,내가 저상황이면 놀라서 못생긴 표정 지으면서 느에?에!!!!!엑!  하고 집가서 이불킥 1038291738291917번 예상
1071,조금 쉬고싶지 않아요가  그런 뜻이었구나ㅜㅜ 이 관계가 지친다는...
1072,아 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 범태호 눈 겁나 웃겨 죽겠는데 권혜성은 또 왜 저래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1073,고구마라고는 1도없는 사이다 웹툰ㅋㅋㅋㅋㅋㅋㅋㅋ
1074,왜 아무도 왕비님 귀엽다는 얘길 안해
1075,저 때만 해도 저 친구는 그냥 오지랖 넓은 친구였는데...
1076,미친 진짜 성폭행  처벌은 심하게 해야된다고ㅠㅠ
1077,"아사라 일할맛 안나겠네 홍련은 도운 사람이라 경계 할꺼고 도운에겐 저번에 패배때문에 속으로 점수 까였을거고 
그리고 궁이랑 한정된 공간에서 저번 패배에 관한것도 소문이 싹 퍼졌겠죠"
1078,아니 새이년은 ㅈㄴ 멍청한게 다른 여자한테서 꼬셔서 뺏어 온 남자 믿고 사귈 자신이 있나?? 똑같이 뺏겨도 할 말 없다는 걸 왜 모르지
1079,천룡님ㅋㅋㅋㅋㅋㅋㅋㅋ연락처도 그렇고 저건 진짜 무서워 할 수밖에 없겠다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1080,카페 남자들이 말한 것은 성희롱이고 단톡방에 사진 올리는 것은 몰카임으로 엄여한 범죄입니다
1081,"허어...저 회사놈들 인성보소...
지들 이익 때문에 산재 신청 못하게 하더니 지원금까지 끊어버리네;;
그것도 세대별로 두 사람 씩이나 똑같은 짓을.
이건 뭐 거의 졸렬잎 마을 수준이네요.

무서운 건 저거보다 더 악랄한 기업도 많다는 현실이죠."
1082,ㅋㅋㅋㅋㅋㅋㅋ애들 다 어이없을때마다 하! 이러는거 너무귀엽고 ㅋㅋㅋ
1083,설이가 명령조로 말하지 말랬다고 '그런 말은 하지마' 아니고 '그런 말은 하지 말자' 이러는 거 봐ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
1084,치인트는 볼수록 드라마화 영화화 한거 고소해도 될만큼 원작이 뛰어남; 제발 애니 만들어주세요 .. 고대로요 
1085,인호의 손은 유정이 한 것이 아님 백인하의 오인과 최성조 일로 인호가 넘겨짚어서 오해한 것 결국 인호도 최성조 일로 유정을 이상하다 낙인찍고 있었던 것. 네가 알아봐.. 이걸로 후원자가 알려지게 하는 타격은 있었지만 그 이상은 안하무인이었던 인호의 과거가 가져온 사고임 
1086,아니 쟨 진짜 눈에 빛안보이면 존나 무섭다고
1087,사랑하면 닮아간다며..
1088,JMT
1089,저저저저 세자가 왕되면 이 나라 망한다
1090,누나..이게뭐야 누나래ㅜㅜㅜ
1091,그건안됔ㅋ
1092,초록눈이 강건이다 하는 사람들은 스토리만 본거고 깜장이가 강건이라고 하는 사람은 작가의 말까지 본사람이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ작가의 말이 더 신빙성이 클까 스토리 해석이 더 클까??
1093,뭐야뭐야 저 술자리 뭐임 ? 뭔가 엄청 수상한데
1094,돌아오셨다 길을 준비하자
1095,근데 솔직히 사군자랑 신룡 입장에서는 인간에 대한 배신감 쩔 수 밖에 없는 듯.... 궁 안의 수많은 사람 중에서 반란을 알려준 사람이 한 명도 없다는 게 굉장히 충격 아니었을까요. 추국이 말대로 그 일로 춘매도 잃게 되고ㅜㅜ 상실감과 배신감이 상당했을 것 같아요ㅜㅜ
1096,"헐 뭐야뭐야 겁나 무서워 이 말 듣고
아빠가 달래 죽인거 아님??ㅜㅜㅜ npc(?)는 원래 죽은 사람이니까"
1097,왜 개미연은 자기 무덤을 팔까?
1098,"밤이 길면 사람이 살아가지를 못한 다는건
달의 뒷면 빛이 닿지않는 곳 절대적인 신
프누르를 빗대서 한 소리 같은데.."
1099,"설아~ 이젠 트루럽인거 눈치챌때 되지않았어? 아무리 모쏠이고 신중한 성격이라지만.. 굳이 교양수업 하나를 계절학기로 들어가며 매일 널보러오고, 니가 맘에들어한 머리삔 눈여겨보고 사주고, 뻔데기까지 먹어줬다고~~ 나같음 저런 선배가 나 좋아한단 느낌 든 순간부터 하늘에서 못내려올거같은데 ㅋㅋㅋ"
1100,오랜만에 나오니까 뭔가 반가우면서도 ㅈㄴ 싫음
1101,아ㅋㅋㅋㄱㅋㅋㅋ미친ㅋㅋㄱ루비 언제부터 일케 귀여웠지ㅋㅋㅋㅋ
1102,스토커 소름끼치고 더럽다 
1103,웹툰으로만 봐도 이렇게 긴박하고 무서운데 진짜 현장을 얼마나 더 무서울까... 
1104,격기삼반도 여캐들 저렇게 나오더만 왜 난리야 여자이기 전에 체력 3급인 캐릭터인걸 기억좀 하세요ㅋㅋㅋㅋ 체력3급이 가슴 뽀잉거리면거 이얍 하고 싸우겠냐 일본만화좀 그만 봐라
1105,"정이도 자기가 변하지않았다고 했었는데 설이도 똑같이 생각하네... 설이가 유정력 만렙 되어도, 정이한테는 없는 도덕적인 뭔가가 설이한테는 있으니까 둘이 비슷하면서도 다른거같음"
1106,개수작 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 부리려고 부린 게 아니라 서툴어서 아무거나 막 던졌는데 그게 개수작인 거여서 더 귀엽닼ㅋㅋㅋㅋㅋ
1107,악 추석연휴 끝나가는게 더무섭
1108,너무 멀리까지 온건 맞지ㅠ..
1109,후우..제발..이런 스킨십 볼 때마다 빕니다..작가님 제발 치인트 성인판...제발....
1110,수빈이 비리 터지면 강원중뿐만이 아니라 같이 촬영 참여했던 사람들도 피해봄...ㅋㅋㅋㅋㅋㅋㅋㅋ
1111,냥국 엄청 은밀하게 존재하는건줄 알았는데 한 학교에만 냥국 엮인 인물이 몇명이야 ㅋㅋㅋㅋㅋ
1112,아니 작가님 유연파들 유연이 등빨에 치이라고 일부러 저렇게 그려주셨죠 아니 어떡하실거에요 유연인 바름이 지갑 거덜내고 오늘 유연파인 제 심장 거덜내셨네요
1113,닥쳐 입냄새 나니까 말 걸지 마
1114,"아니 건우 뭔데 저렇게 바람직하냐.. 트럼프에서 저런 애들은 그 자체가 플래그던데.,ㅠ"
1115,할머니가 해주시는 말 뭔가 어떤식으로든 내가 듣고싶었던말이 저 말인거같아서 눈물난다..
1116,저 칼로 베어내면 사람 다시 살아나는건 아닐까? 그래서 저승의 질서가 엉망된다그러는거. 염라 베어서 환생하고 이생이랑 커플되면 좋겠당♡
1117,은비 잘 지내는거 같아서 보기 좋다 ㅠㅠㅠㅠㅠ 참고로 은비가 누구냐면 초반 에피소드 낙화편에 나온 학교폭력 피해자였어요
1118,둘이 같이붙어있으니까 다정이 왤케 하는짓이 귀엽냐ㅠㅜㅠㅠㅜㅜㅜㅜㅜㅠㅜㅜㅜㅜ
1119,"야임마 너 이렇게 벌점이 쌓이면 !!
싸이먼 도미닉"
1120,"저번화에서 이사람은 '어때..?' '이 사람은 인성이 실격'
이라고 말했던 사람이 운호각."
1121,구체적인 잘잘못을 따지거나 서로에 대한 불공평함을 논하기보단 그저 위로가 필요한 순간... 요즘들어 공감이 되는 말이네요...
1122,"처음에 배운게 도둑질이라는거는 싫어하는 누군가의 모습을 도둑질했다는거고
 도둑질의 장르가 다르다는것은 그 싫어하는 누군가완 다르게 자신의 일을 대물림하기 싫어한다는것이고 
 마지막에 도둑질을 타고났다는것은  펜토미노가 했던 '사과는 얼굴을 보고해야한다'란 말을 아직 뭘 배우지도 않은 헵토미노가 그대로 따라하는것을 보고 도둑질을 타고났다라고 말한것"
1123,초반엔 봉원씨 당신 속눈썹 실화먀...? 하고 있었는데 중간부터 진지해져서 당황했어... 봉원이가 호선이에게 느끼는 부채감에 대한 내용이 이제 풀리네요 호선이 이마의 상처를 보니 벌써부터 맴찢
1124,왜 아무도 설이가 꾸물꾸물 정이한테 안기는거 말 안함 핵귀여운데 왜 어무도 언급을 안해
1125,라일라가 저 아이템을 꺼냄으로서 눈치빠른 찬드라도 1가지 정보는 알수 있겠군요. 클로드에게 신탁을 내린건 브라흐마라는것을..
1126,"해수 뭘 잘했다고 그렇게 미안한 기색 하나없이 서있다가 수아랑 눈 마주치고는 휙 돌아서는거니,,,,"
1127,수지 집에 뭔일있는건가...아님...원래 다니는병원같은거있는건가....  오랜친구여서 뭔가 아는거같기는한데...
1128,교도관 두명이 서있는컷에서 엑스트라들이 수색하는거에 왜이리 구도나배경이 멋지게 그려져있지? 하다가 밑에 리가있어서 1초정도정도 놀라다가 납득이갔음
1129,쿠키가 안 아까웠다
1130,내생각에 아무리봐도 유정은 여우과임
1131,우리는 여기서 한라가 딱 한 번이지만 신우를 '신우 씨'라고 불렀다는 걸 알아야 합니다
1132,도운아 제발 질투라고 해줘..진짜 떡밥 가뭄들어서 목마르다 못해 낙타될것같아
1133,ㄹㅇ설이가 인내심이 천하제일이라 참은거지 인성파탄난 나였으면 진작에 욕ㅈㄴ하고 김상철마냥 나대다가 유정한테 털리고 휴학당했을듯;;;
1134,"다큐서 지한채도 곁눈질하고있는데 왜 언급안하지? 스토커일듯.. 직접 사생 못뛰는거보니 주다홍, 지한채 둘 중 하나가 스토커."
1135,노블레스였으면 문앞에 보초 잡는것 까지만 두달걸림
1136,근데 정이 입장에선 허조교 입때문에 설이랑 싸우고 와서 빡치는데 눈 앞에서 둘이 신파나 찍고있으니까 게이랑 상관없이 그냥 커플이라도 졸라 빡치지... 잘 참네 정이...
1137,황요 건들면 비녀단 너흰 추이한테 전멸당할꺼다
1138,계산안됌ㅋㅋㅋㄱㅋㅋ
1139,앟 인하야 왜 그르케 웃어.. 우리 아영이 착한애야 건들지 마라조....
1140,아니 지가 잘못해서 정이가 레포트 잃어버린척 하자로 퉁친건데 지가 무슨피해자야 ㅋㅋㅋㅋ난 진짜 이편볼때마다 허조교 존나 마음에안들음 ㅋㅋㅋㅋ그니까 애초에 남의 지갑을 겁도 없이 왜 훔쳐 아오.. 왤캐 나예민해졌지;
1141,인호 진짜 제일 인간적이고 멋진 캐릭터... 쉽게 할 수 없는걸 하는 사람
1142,설이 안전을 신경 안쓰는게 아니라 정이가 보스몹이라 이미 모든 판을 짜놨기 때문인거임ㅋㅋㅋㅋㅋㅋㅋㅋ인호야 정이를 그리모르냐ㅠ
1143,하필 그날 설이 돈이 다떨어졌고 유정이랑 은택이가 비슷한 옷을 입고있었고....둘은 진짜 운명이었나보네
1144,친구2ㅋㅋㅋ 그냥 둘 다 사귀면 안 돼? 어떻게 내 맘이랑 똑같냐 ㅋㅋㅋㅋㅋ
1145,나만 혜성이 쇄골 밖에 안 보이나
1146,보호자가 도은이라 더 좋은거 같은데.. 왜 자꾸 우연이만 찾아
1147,중열이 출연 여부를 떠나서 표지보고 울수밖에없었다.. 중열이랑 둘이있는 모습으로 저렇게 웃는우락이가 얼마만인지.. 중열이표정도 똑같겟죠ㅠㅠㅠㅠㅠㅠㅠㅠ
1148,작가님 제발 큐티버전 카톡 임티 만들어주세여 ㅠㅠㅠ 이토록 웹툰캐릭 임티 갖고싶었던적이 없어여 ㅠㅠㅠㅠ
1149,썸내일너무 웃겨ㅋㅋㅋㅋ 만우절이라고 네이버 담당자들이 그린건대 ㅋㅋㅋㅋ
1150,진짜 카신 입장에서는 엄청 서운했을수도 있겠는데.. 아들이 자기는 신경도 안 쓰고 상사 얘기만 하고..ㅠㅠ 카신이 예전에 히아가 혼자 설 수 있을때까지는 죽을 수 없다고 했는데.. 무슨 연관이 있으려나..ㅠㅠㅠ 히아야 어리광 좀 부려....ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ
1151,추월만정 레코드가 채공선목소리면 저작권료는....?정년이 왤케 가난하게 살았냐
1152,보라 눈치 좋아ㅋㅋㅋㅋㅋ
1153,사빈 여자 많이 울려봤니?이 놈이..??ㅋㅋㅋㄱ
1154,"솔직히 봉원이 단독화 2주?더 넘게 나왔던거 같고 난 호선이 나올때까지 기다렸는데,, 남주 결정된것두아닌데 이제 호선이 2주차 나왔다구 봉원이웅앵웅하는건..좀..,,"
1155,둘다 심한 피해를 입었고 오해하고 남을 볼 여력이 안돼서 오해가 확신이 되고 서로 증오에 쩌들었구나 미치겠네
1156,그냥 견우❤️ 홍시 합시다
1157,눈이 이상해 왜 무심이랑 산신령이 사귀는 것 같지 이상하다 나는 분명히 2주 전만 해도 강유커플 좋아했는데
1158,ㅋㅋㅋㅋㅋㅋㅋㅋ 달팽이를 쫓든 뭐든 꼭 그렇게 콩콩 뛰어야만 했냐고 정아 ㅋㅋㅋㅋㅋㅋㅋㅋ
1159,진짜 개소름이다...노래 따라부르는거.... 그날도 다 보고있던거네?
1160,세수세포니까 세수하고싶다 라고 할 것 응큼이가 알고 말한거죠
1161,그래도 저흰눈썹이원인이네....
1162,저 열등감있어보이는..?친구 걍 성격좋게 다가와준 인호랑두 친해지지 ..그러면 유정은 1+1 인데 ...(?) ㅋㅋㅋㅋㅋㅋㅋ 나라면그랬다 ... 에휴 인호 손때매 고등학교시절 볼때는 늘불안하네 ㅜㅜㅜㅜ
1163,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ작가의말 ㅋㅋㅋㅋㅋ그냥 딴생각못하게 머리끄댕이 잡아버리네 ㅋㅋㅋㅋㅋ
1164,ㅋㅋㅋㅋㅋㅋ아니ㅋㅋㅋㅋㅋ범태호 안경 벗은게 신의 한수였네ㅋㅋㅋㅋㅋ도대체 얼마나 시력이 안 좋은거야ㅋㅋㅋㅋㅋ안경이 거의 돋보기 수준ㅋㅋㅋㅋㅋㅋㅋ
