,high_comment_True
1575,괜찮은 남자인거 같은데???그래도 나름대로 최선을 다한거잖아
1576,그 시대의 감성을 되살리며 감안하고 보고는 있지만 괴롭네요
1577,도운이 홍련을 감싸는게 한 사람으로 아껴주는 건지.. 이용하려고 아껴주는 건지... 난 이제 모르겠어.....
1578,조심스레 순주영노 주식 사봅니다....
1579,새해복 많이받으세요
1580,"외모컴플렉스로 인한 거식증 비슷한건가 보구나 ...
그나저나 지하철역 정릉역인가봐요 아리라정보도서관 보이네 ㅋㅋ"
1581,중간에 잠깐 만화 장르가 바뀐 것 같은데 ㅋㅋㅋㅋㅋㅋ 작가님 호러 쪽으로 가셔도 잘 하실것같네요 ㅋㅋㅋ
1582,아악 고양이 버전 춘배 진짜 너무 사랑스러워
1583,유일이랑 무이도 같이 먹으면서 연인이 되기 위한 통과의례를 하고 있는 거네요ㅎㅎ
1584,이번엔 상처받지 말길
1585,"와 씽ㅠ 무기 개커엽자너ㅠㅠㅠ
아악ㅠㅠ 퐁퐁퐁이래ㅠㅠㅠ
내 심장 돌려내라구웃ㅠㅠㅠㅠ"
1586,와 나 남잔데 요한이 개섹시하네
1587,"다들 중요한 떡밥 하나 놓친것같은데, '그 녀석'이 누굴까요? 윤영이가 여태 보여준 모습들과 달리 귀신들땜에 힘들어하는 이유는 그 녀석이라는 무언가가 없기 때문일 것으로 보이네요. 그 녀석은 어떠한 이유에선지 주변의 귀신들로부터 윤영이를 보호해주는 존재인 것 같습니다.(사람일거란 보장은 안드네요) 이게 맞다면 그 녀석은 갑자기 왜 사라진건지 의문이 드는데, 윤영이가 그 녀석으로부터 보호를 받는게 당장은 도움이 될 수있지만 장기적으로 봤을 때 결국 윤영이 스스로 민지처럼 귀신들로부터 자신을 보호할 수 있는 힘을 기를 필요가 있기 때문이지 않을까하는 추측을 해봅니다. 그 녀석이라는 존재가 사람이 아니라면, 민지가 학교화장실에서 지네괴물땜에 애를 먹는 화에 윤영이가 계단을 올라가다가 주저앉는 장면을 보면 그림자가 하나 더 있었자나요. 그렇게 윤영이에게 딱 붙어있었던 존재가 아니었을까 생각이 듭니다."
1588,"╭┈┈┈┈╯    ╰┈┈┈╮

╰┳┳╯    ╰┳┳╯
 유  　    　　날

 정   　   　　가
    ╰┈┈╯
  선 ╭━━━━━╮　   져
      ┈┈┈┈
　　배     　　 요"
1589,겉모습이 백인혼데옄ㅋㅋㅋㅋㅋ백인호 외모에 유정 성격 섞었으면 설이 이상형 나왔을듯
1590,근데 웃긴건 오영곤이 김상철에 대해 쓴건 다 맞는말이라는 게ㅋㅌㅋ ㅋ ㅋ ㅋㅌㅋ ㅋ ㅋ ㅋ역시 빡대가리는 빡대가리로 조져야해...
1591,아 그래서 자영이랑 헤어질 수 밖에 없었던 거구나 자영이는 일이랑 사랑에 빠졌으니까... 유미는 웅이랑 사랑에 빠져서 눈이 반짝반짝 한거고ㅠㅠ
1592,"크레센트....ㅠㅜ 너무 짠하네
여기 너무 슬프다ㅠㅠㅠㅠ
오늘도 백신우 멋있고요...
작가님 시계 고장나신건가요..."
1593,다음주는 음양의 조화시간인가?
1594,열심히 살다가도 한번씩 느껴지는 내일의 무게 
1595,만화라서 그렇지 현실이었으면 진짜 백인하...상상만 해도 질린다...
1596,이과다...이과야..!
1597,마지막 장면 보고 벽 부수다가 우리집 원룸 됐다
1598,인호야ㅠㅠㅠㅠ짠내ㅠㅠㅠㅠ어흐규ㅠㅠㅠㅠ일로와인호ㅠㅠㅠ
1599,"금단 마법사가 필요한것이 누구냐가 핵심이군요.
지금 왕자는 금단마법을 이용해 왕실을 부흥시키려하고 있습니다. 교회가 점차 마법사를 빼돌리고 있습니다. 그리고 누군가의 사주로 모험가가 마법사를 가로채는 일도 생겼습니다. 제목만 아니라면 당연히 왕자측에서 가로채는 것이겠지만 덫이라는 제목을 봤을 때 왕자측에 적대적인 인물
그리고 고급모험가를 부릴수 있는 재력을 겸비한 인물이 그 배후 일텐데요. 
조심스럽게 왕실인물 중 하나가 그 배후라 추측합니다. 전에 등장한 공주님일지도..."
1600,하룻강아지(미친개) 범(타이거D)무서운줄 모른다
1601,사실 윤호 머리 색깔 따윈 중요하지 않아 삭발도 잘어울릴걸 그러니 우락깡민 ...
1602,"""고딩 대딩이 아빠한테 꼰질럿다고 큰 죄야?"" 이 부분은 공감... 애초에 유정 감시시킬라고 인호인하를 유정 옆에 붙여놓은 유정 아빠가 제일 나쁘지...
인하는 유정아빠가 안받아주면 자기를 때리는 고모한테 다시 돌아가야 하는데.. 유정아빠가 자기들을 거둔이유를 아니깐 자기가 살기위해선 그렇게 밖에 할 수 없었던것도 이해는 되는...데.... ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 그래도 지금은 아니잖아ㅠㅠㅠㅠㅠㅠ 어렸을때는 힘이 없어서 살기위해 그랬다지만ㅠㅠ 지금은 스스로 노력할 수 있는데 안하고 있는거잖아ㅠㅠㅠ"
1603,아니 근데 텐ㅋㅋㅋㅋㅋㅋ 카신이 히아센 머리에 문지르라고 했지 퍽 찍으라고 하지는 않았는데... 실제 상황이라면 진심 아플듯
1604,주인공은 자기자신 ..
1605,다리 밑으로 다시간대 ㅠㅠㅠ 넘나 귀여워요♡♡
1606,"여러분 여주는 죽지않아요 ~ 
그러니깐 신우랑 결혼을 시키죠자까님"
1607,착한애였구나
1608,아리야~꺄아아아아아아악
1609,얘들은 지들 얼굴을 모르나? 자꾸 이쁜 얼굴 불쑥불쑥 내밀래? 어? 심장이 놀라잖아!
1610,"이번 추국 입덕 동지분들..미래에서 왔는데요, 당분간 탈덕은 없을 예정입니다"
1611,이번에는 이무기 시나리오인가..난 이시나리오도 좋다!!!!!!!!!!!!
1612,근데 진나비가 동생에 대한 책이 있다는걸 듣고 없애버린다고 하는거 너무 슬프다 얼마나 동생을 아끼는 오빠는 커녕 우리 오빠는 내 방에 몰래 들어오지나 않으면 좋겠다
1613,헐 근데 텐이랑 카신 계약할때 히아가 수사망에 들기만 해도 텐 죽는거 아닌가 류인지뭐시기인지때문에 히아센 수사망 들면 어떡해???
1614,근데..불가살 저저번부터 너무..잘생긴거 아니에요 작가님..?
1615,"전 컷에서 남자 부럽다고 했는데 제 생각이 짧았네요 사과드립니다,,,,,,,"
1616,개웃겨 설이가 번데기 건네줬을때 유정의 '아...'에서 너무 많은 감정이 느껴짐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1617,아 근데 이 작화 진짜 예쁘게 나왓다
1618,저 괴물 둘이가 어뜨케 죽마고우처럼 친해질수가 있었을까 넘 궁금하네
1619,"미카 너는 쏘스윗가이...이다...
너는...정말...
짱...
그리고 악마...너는......
......섹시킹...
섹시...가이...이다..."
1620,음식을 주우면 뭔줄압니까? 푸드득입니다 아이고 부장님깔깔
1621,역시 빙어는 낚시대로 잡아줘야 제맛이야
1622,우리가 테러맨 첫화 보면 정우가 다리 하니 뽀싸쁠고 청송 교도소 죄인 전원 석방이라고 했는대 중간에 대학 어ㅉ고저ㅉ고 있잖아요 수능 같은어보려다가 그날 릴리아가 처형된다 하니까 꽁승 튀어와서 그러는거 같니요
1623,해준아 너 질투하는거야 ....??? 
1624,옆동네에서 가스파드작가님 보고 웃고옴 ㅋㅋㅋ
1625,작가님 빠른 쾌유를 빕니다.
1626,진짜 맴찢어진다ㅠㅠㅠ 애들 한명한명이ㅣ 갖고 있는 아픔이 너무 애잔해ㅠㅠㅜㅜㅜㅜㅜ 란 히아센 언젠가 마을 활보하고 같이 웃으면서 진짜 행복한 부자관계로 거듭나라ㅠㅠㅜ
1627,"염라대왕님은 성격까지도 참 매력적인 게,
과거에는 연연하지 않고 앞으로 나갈것만 생각하는 낙관적 전진형인 점요. 카멜레온 같은 매력이 있어요.
상황에 따라 냉철할땐 냉철하고 귀여울땐 한없이 귀엽고.
염라대왕이야말로 지난 세월이 한이 많을수 밖에 없는데도
한번도 과거에 매여 징징대는 법이 없이 그저 현재에서 해결할 수 있는 방법을 찾고 이성적으로 대응하는데 집중을 하는것이 "
1628,따 당한다할때 련팀장님 표정ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1629,"짭다정 연필 부러지니까 찐다정 모른척ㅋㅋㅋㅋㅋㅋㅋ
너무 귀여워ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
1630,"백인하가 얻은 것 : 물질
남자가 얻은 것 : 미녀를 애인으로 뒀다는 뿌듯함, 자랑거리

거기서 거기임."
1631,"매번 느끼지만 막컷에 아영이랑 유정 되게 닮은듯 ㅋㅋㅋ 인호 말로는 고딩때 유정이 자기랑 닮은 애는 골라서 쏙쏙 사귀었다더니 고딩이였다면 둘이 사귀었으려나 ㅋㅋ 아영이도 정이한테 관심 있었고,,,ㅋㅋㅋㅋ"
1632,"쌀집형 도윤이네 팀 감독하는거아님?
이론은빠삭하니까 감독이나 코치하면 딱인데
쌀집형 감독하장"
1633,아 바디필로우 같애.. 저 디자인으로 쿠션 나오면 사고싶ㄷㅏ...
1634,지금 보니까 그냥 썸타는거네 ㅘ........하.... 그냥....누가....과순이를 기다려줘...과사에서.....유ㅓㅈㅇ....너가 최고다
1635,치트 : 전 언제쯤 등장하면 될까요?
1636,허엉어ㅓㄱ 칼 뺏기지 말랬자나 ㅠㅠ
1637,이야 오늘은 검성이도 활약하는구나?
1638,아 텐 완전 감동 ㅠㅠㅠㅠ
1639,진짜 2백만개만큼의 쿠키였다...
1640,정이가 계속 끼부리는게 웃겨ㅋㅋㅋ
1641,ㅋㅋㅋㅋㅋㅋ마지막 장면 보고 앞에 다 까먹음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1642,백한:일단 당신은 아니겠군요
1643,과거에 홍설이 유정땜에 힘들어한거에 비하면 유정이 1~2부때 홍설한테 잘해준것도 과하지가 않은듯
1644,그런데 저아줌마 가 태도가 그래서 그렇지 범사할아버지에 대한건 정확히 판단내린거 같은데요? 솔직히 범사할아버지한테는 아내 >>>>>> 파라곤  >> 그외 아닌가요?
1645,"극초반 몇화동안은 그냥 단순한 역하렘물이나 연애물이나 되는줄 알았는데, 조금 소름 끼칠만한 설정이나 배경, 캐릭터도 많고 스토리도 인물관계도 엄청 치밀해서 준비가 많이 된 작품이란게 계속 느껴진다... 그리고 주인공 하리라는 캐릭터도 진짜 대단하게 느껴진다. 평범하기도 하지만 냉정하기도 하고 여리기도 하고 인간적이기도 하고 멘탈도 좋아서 잘 이겨내고 해피엔딩으로 끝났으면 좋겠다..."
1646,ㅋㅋ 태웠는데 병정개미 아니였으면 어쩔뻔ㅋㅋ
1647,넘 슬퍼ㅜㅠ 저도 뜨개방 가고싶어요 어디있나요ㅠ
1648,미친ㅋㅋㅋㅋㅋㅋㅋㅋ 마지막 무모협지보고 완전 뿜었네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1649,아닠ㅋㅋㅋㅋㅋ유정 조 폭탄맞았는뎈ㅋㅋㅋ한명은 열등감땜에 띠껍고 두명은 무임승차 D학점 전적있잖앜ㅋㅋㅋㅋ
1650,아진짜 가슴이 미어지는화다.....
1651,근데 이무기 진짜 용되면 아주 아름답지 않을까..?
1652,"사실 보면 빠르가 크게 변하진 않았음. 아직도 자기 이익과 자신의 안위가 제일 우선시 되지만 지금 생각해보면 다들 빠르 첨 나왔을때 ""아 쟤 너무 싫다. 산군 다시 돌려줘요 ㅠㅠ"" ""산군에 비해 너무 비열한데??""""너무 약한거 아님?"" 등등 안좋은 말들만 대부분이였는데 어느새 다들 빠르 매력에 빠지고 있음.. 진짜 적들도 하나 같이 매력있었는데 작가님은 진짜 캐릭터 몰입도랑 개성 살리는거는 진짜 최고인듯... ㅠㅠ!!!"
1653,"사부의 눈만 노랗고 산군에게 무두리의 술법을 가르쳐줬다고 하니 사부의 정체는 아무래도 용인것 같습니다. 그리고 아랑사의 엄마보고 진짜 여우였지, 라고 하는 걸 보아 신령급의 여우나 둔갑이 가능한 여우- 그러니까  구미호 같은 것이 아랑사의 엄마일 수 있을 것 같습니다. 그렇다면 나중에 아랑사가 아빠에게서 받은 힘 외에 변수로 영웅적 잠재력의 요소가 되어 전개를 더 흥미진진하게 만들어 줄 수 있을 거 같습니다."
1654,목숨걸만큼 소중한여자인건가
1655,저새끼는 백인호와 설이가 있을때 백인호에게 먼저 시비를 털며 과거를 들먹이던 유정 밥 최성조입니다
1656,작가님... 이렇게 훅 들어오시면 .. 어
1657,샤이걸 너무 귀여우신데
1658,베댓님.. 다정이랑 요한이가 부부가 되서 부부싸움을 할 수 있을거라고 생각해요...? 요한이는 다정이가 하는 말이라면 다 들을텐데...ㅋㅋㅋㅋ? 다정이한테는 찍소리도 못하고 살텐데ㅎㅎㅎ
1659,악마 2호가 윤한나 엄마다.
1660,센터장님 멋지십니다...!!!
1661,4호한텐 미안하지만 쓰러진 모습도 섹시하네
1662,보너스만화 스토어 들어가시면 있어요!
1663,베뎃님 백인호는 이미 누나가 (착각하고)유정여친 보이자마자 그자리에서 바로 조진걸 봤으니 저런반응은 당연하죠.. 유정도 그자리에 있었으면 분명 다르게 반응했을듯
1664,두근두근하지? 완전 설레지?? 콩닥콩닥 하지? 일도 잘하고 개멋진데 와중에 귀엽고 안쓰럽고 착한 설이가 약한 모습도 보여주니까 완전 두근두근하지? 반했지 짜식아???
1665,고려대 풍자ㅋㅋㅋ
1666,아 기여워.....ㅠ
1667,다들 남주얘기밖에 없네ㅠㅠㅠㅠ도은이 맘 이해돼서 눈물나는데ㅜㅜㅜ...
1668,웹툰에선 이렇게 서사가 완벽한데...
1669,"베댓 썸네일 얘기 뭔가 했네 ㅋㅋㅋㅋㅋㅋ 
그나저나 자극적인 웹툰들도 재밌고 인기가 많은 건 어쩔 수 없지만, 이런 좋은 내용의 웹툰이 묻히는게 너무 아쉽다 ㅠㅠ 
많은 사람들의 생각을 바꿔줄 수도 있을텐데... 나한테도 무의식적으로 남한테 피해주던걸 다시 생각하게된 계기가 됐고.."
1670,가증스럽게
1671,사스가 측우기....
1672,아니 진짜...헤이하치쌤 나쁜줄만 알ㄹ았는데ㅠㅠ학생들 챙겨주는거 완전 감동..ㅠㅠㅠㅠ
1673,유정ㅋㅋㅋㅋㅋ 자기가 먼저 생까놓고 설이 신경쓰여서 힐끔거리는거봨ㅋㅋㅋㅋㅋ아 진짜 댕댕이같애
1674,"아니 긍데 이게 판타지만은 아닌게 다 유일이 좋아하게 된 계기가 공감이되서.. 무이는 본인이 힘들때 글로써 워로해준 사람 , 최애는 팬으로서 자길 생각하는 마음, 쉐프는 내숭덩어리 가식적인 사람들 사이에서 자기가 해준 음식도 맛나게 먹어주고 가식없이 대해준사람 이자너 웹툰중에 유일이가 젤부럽다ㅋ"
1675,유연이 옆에 가서 무릎꿇고 걱정해주는거 개발린다
1676,세뇌라는것이 이렇게 무섭습니다. 현실의 적절한 예시는 북괴가 있습니다.
1677,홍시견우 커플은 어떨까요
1678,여러분 작가님파로 오시면 모두를 사랑할 수 있다구요
1679,잘가라 개그세포
1680,아 내가 기다리던 부분ㅠㅠㅠ 인호 비맞으면서 울던 부분 보고 진짜 맘아팠는데... 인호야 행복해야 해...
1681,와 손자놈 설이가 뛰니까 웃는것봐;
1682,어렸을때부터 줘 패는법 배운애한테..
1683,와..유미장발 존예..
1684,저 대두가 다시나올줄은 몰랐는데 ㅋㅋㅋ
1685,인호 귀여워서 코피터졌지? 설이 너두? 야 나두
1686,설이가 미끼 뿌리는거 아닐까 훔쳐간 애들 당황하도록
1687,앜ㅋㅋㅋ너무 웃겨ㅠㅠㅠㅠㅠ 미치겠닼ㅋㅋㅋㅋ 제임수 금란이 화요일 남자였던 거 같은뎈ㅋㅋㅋ
1688,시호가... 혜성이한테... 자기라구햇서... 흐으ㅡㅡㄱ....
1689,이로써 월요일 남친자리가 비었군... 한서의 자린가
1690,정윤문경아빠(kciz****) 한회 연재에 배댓 두개 만들어드릴까요?ㅎㅎ 아이들한테 자랑하시게
1691,"""당신의 허리를 곧추 세우자"""
1692,견자타임
1693,와 진짜 약을 빨아도 이렇게 사람이 좋은 방향으로 사용할 수 있습니더 그러므로 우리 모두 약을 빱시다 
1694,근데 저 여자애가 증거를 없애려고 공격을 안 피했는데 그렇다는건 처음부터 저 여자애는 죽을 작정하고 온거였어...? 멋지다
1695,혜성이ㅋㅋㅋ 시호 성가셔하면서 착실히 보호자 역할해주고 있어ㅋㅋㅋㅋㅋㅋ 이 바람직한 츤데레같으니라구ㅋㅋㅋ 그 와중에 벽치기하는 턱선 심쿵ㅠㅜㅠㅠ
1696,아.. 아아. 그래서 호선이가 봉원이를 용서할 수 없는 거였구나. 정미를 믿음으로 인해서 호선이는 죽어버렸으니까. 흡혈귀가 되어 영원을 얻었지만 동시에 자신의 삶을 완전히 잃었으니까.. 자신의 목숨을 담보로 영원을 갈구는 인간의 손아귀에서 호선이는 얼마나 무서웠을까. 그런 인간대신 갖게 된 영원이 얼마나 족쇄같았을까.
1697,우암따라 새가 찾아오는 거 봐ㄱㅋㅋㅋㄱㅋㅋㅋㅋ 사랑받고 있네 우암
1698,와..  이렇게 매주 두 개씩 올리시면 작가님... 감사합니다.
1699,"내가 이 웹툰을 좋아하는이유
캐릭터마다 눈코입 등 얼굴이 다 다르게생겼고 
캐릭터별 성격설정이 확실하며
스토리 개연성이 훌륭하고 스토리텔링이 좋다

어떤웹툰은 인물간 외모에 차이가나더라도 미묘하게 한작가의손에서 그려진그림임이 느껴지는데
치인트는 그런면에서 작가님의역량이 더더욱 느껴짐

결론은 유정이 너무잘생겼고,,
자꾸 이전화 뽀뽀장면이 아른거림ㅋㅋ"
1700,"월요일은 유일무이 로맨스 보는 낙으로 살아요
그런의미로 다음주는 사이다 기대해봅니다"
1701,진짜 백인호는 끝까지 모르는구나
1702,ㅋㅋㅋㅋㅋㅋ컴터뽑고 달리는거 개신박해 ㅋㅋㅋㅋㅋ주인공 개 마음에 든다
1703,호선이가 증말 애증의 캐릭터다...악당이지만 그럴 수 밖에 없는..흡혈귀가 되고나서 엄마아빠얼굴 한번 못봤을텐데. 난 호선이가 무조건 잘되길 바랄래
1704,"난 진짜 도운이를 모르겄다 지금까지 독백이나 속마음이 1도 안나온 유일한 캐릭터인데 아니 날때부터 천재인 녀석이 왜 왕의 총애를 잃으면 끝인 왕비의 길을 택했을까. 자기 가문의 부흥을 위해서라면 걍 신하하지...
쨋든 전 도운이 홍련을 버리지도 홍련이 도운을 버리지도 않을거라 생각해요. 서로가 서로의 지지기반이기도하고 애초에 미운정이 고운정보다 더 무섭다고 둘은 오히려 사랑이외의 온갖 감정이 섞여있어서 더 떨어지기 힘들듯...
 서로의 아주 깁숙한 바닥까지 알고있는 유일한 사람이고 공범이니까. 홍련이 예전에 자양이 도운 뺐으니 어쩌니 했을때 진심으로 죽이려고 했는데 그것만 보면 오히려 홍련이 도운을 안 놓을듯.

아 그리고 도운이 간다던 곳도 백한이랑 같이 간 절 아니었을까요? 왠지 그런 느낌이야. "
1705,클 빅에 순할 순ㅋㅋㅋㅋㅋㅋ 한자의 경계를 넘어섰잖아요..!
1706,개나소나 다 출품했다는 부분에 세윤작가님 있음ㅋㅋㅋㅋㅋㅋㅋㅋ
1707,웃기넼ㅋㅋㅋㅋ 희대의 개소맄ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1708,사이다
1709,유정 설이가 자기 내칠까봐 무서워서 말도 못하다가 설이가 좋아한다고 고백하니까 너무 놀라고 좋아서 솔직하게 말하는거 봐라... 정말 진도 나가기 딱 좋은 밤이었다....
1710,"비두만
중국에 존재하는 녹수로의 일종으로 머리와 몸이 완전히 분리되어 날아다닌다. 삼재도회에서도 이야기가 나오는데 인도 자바섬에서 날아다니는 머리를 부리는 이가 있었다고 한다. 눈에 눈동작 없는 것이 특징으로 현지에서는 무시오토시, 낙민(목이 떨어진 사람)이라 불렀다고 한다. 한무제때 남방에 몸을 분리 할 수 있는 사람이 있었는데 목을 남방에 왼손을 동쪽 바다에 오른손을 서쪽 저수지에 날려 보냈다는 사람이 있었다고 하며 비두만이 날아다니는 것은 벌레와 곤충을 잡아먹기 위해서이며, 귀를 날개 대신 이용하여 날아다닌다고 한다. 목에 붉은 흉터가 있는 것이 특징. 중국의 소설집인 수신기에 따르면 머리가 날아가는 건 밤중인데 이때 몸은 자고있다. 모포와 같은 덮는 물건을 이용하여 비두만의 몸을 덮어두면 아침에 돌아온 머리는 몸과 결합을 할 수 없게되고 결합하기 위해 몇 번을 시도해보다가 머리는 결국 호흡이 괴로운 듯 거칠어 졌고 이에 이불을 치워 머리가 몸통에 붙자 진정 되었다 한다. "
1711,마자 어릴때는 잘 몰랐는데 나이들어서 다시 본 유정은 이상한게 아님. 적절한 부모 밑에서 크지 못한 똑똑하고 미성숙한 어른일 뿐임.... 등장인물들이 다들 유정을 이상하게 보는건 유정이 미성숙할 리가 없다고 생각해서 아닐까. 물론 유정아빠놈은 예외
1712,바다대신 바디를 보자
1713,근데 현재에서 과거로 넘어가는 연출 진짜죽인다
1714,"진짜 공감이많이되는 웹툰입니다 저도 고1때까지만해도 80키로를넘겼는데 겨울방학2달동안 12키로가량 빼니까 주위시선이 달라진게 느껴지더라고요..
근데 너무무리하는것도 좀 위험한거같습니다. 다이어트는 적당히.."
1715,그래 유정아 잘했어. 쿠키 먹어...
1716,설이 트라우마ㅠㅠ
1717,ㅋㄱㄱㅋㄱㄱ백인호 미인계 쓴다
1718,설이 어른스러우면서도 안쓰러우면서도....ㅠㅠ행복하자....
1719,아 남수선생님ㅜㅠㅠ 오버 아니고 진심으로 일주일 살아가는 낙이에요. 이거 볼려고 네이버페이 해지를 못하겠습니다ㅋ큐ㅠㅠ 아 유연이 머리 내린거 너무 귀여워ㅠㅡ 
1720,"조질란테 너무 매력적인 캐릭터다. 정의감이 있지만 그것이 정도를 넘을만큼 넘치지 않으며 자신이 정한, 혹은 임무를 내린 사람의 명령에 따라 사람을 죽이는 것까지도 마다하지 않는 모습때문에 선역이라고 부르기는 힘들지만, 악한자에게는 악하고, 선한자에게는 선한 모습을 보이기 때문에 절대적인 악역이라고도 할 수 없다. 
싸움실력과 판단력등이 압도적인 모습에서는 완벽한 캐릭터이지만, 자신을 다치게 한 사람에게는 분노를 참지 못하는 인간적인 모습도 있고.
웹툰에서 처음에는 명령에 따라 일을 처리하려하다가, 김지용을 아까워 하는 과정에서 하나씩 원칙을 깨다, 이제 본격적으로 명령을 하달한 사람에게 칼을 겨누게 될텐데, 이제부터의 스토리가 너무 기대된다. "
1721,"진짜 웹툰 제목 잘 지으신 것 같아요 작가님 ㅠㅠ b 
마음의 숙제라는 말이 왜이렇게 맘에 콱 박히는지... "
1722,"열심히 보고있다가 산신령 검은머리에 훅 치여버렸다...
작가님 제가 흑발 좋아하는건 어떻게아시고))
우암이 산신령 된 이유가 너무 슬픈... 과거 슬픈건 다 잊고 행복하게 살길ㅠ"
1723,2시가 아침이라니.. 오늘이 일찍 일어난거라니...ㅜ 다들 생활패턴 박살났구나ㅠㅜ
1724,"백인호...  머리스타일이 M자 탈모로 보여..,,"
1725,저는 첫출동 머리창에 머리박는 비둘기 구조..
1726,ㅋㅋㅋㅋㅋ흑사너무좋하
1727,근데 진짜 구미호 목적이 뭐야ㅠㅠ 불안
1728,헷갈린 게 민망해서 ㅋㅋㅋㅋㅋㅋㅋ
1729,"아니 근데 민이는 회식하다가 폰때문에 받아서 그런거고
난 유일이랑 무이가 자주 만나는데 연애기사 안 뜨는게 더 신기함..ㅋㅋ"
1730,그냥 보자마자 천사라고 생각한사람은 손을 들어주세요
1731,"아 저 선물 성윤이건데  성윤이랑 싸운애가 갖고있겠네
작가님 저는 평화로운 러브를 원츄해용!!!"
1732,아는 사이가 아니라 사귀는 사이가 되어있을텐데?
1733,자유 작가님 전작 보신 분들은 아시겠지만.... 아군인 것 같았던 애가 알고보니 막.. 이렇고 저렇고... 이런 거 작가님 너무 잘 활용하셔서ㅠㅠㅠㅠㅠㅠㅜㅜㅠㅜㅜ하지만 작가님 제발 우리 사빈 아군이라고 해주세요ㅠㅠㅠㅜㅜ
1734,백퍼 직장에서 일하는데 성숙한ㅜㅜ 설이는 칭얼대는게 짐이라고생각하지..하지만 그게또 연애하는데 묘미가아니거쏘?호호호
1735,예쁘지만 따가운 기억이란 말 정말 공감되네요... 작가님 항상 사람의 세세한 부분까지 잘 표현해주셔서 많이 따듯해지고 위로가되요!!
1736,베댓되면 어떤 기분일까유...?
1737,유정이 설이를 보면서 자기모습을 본거잖아요ㅜ 그래서 제목도 거울인 것 같고..... 몇번봐도 띵편
1738,아기뱀 산신령 조합 체고다
1739,유호선이 명영도련님을 눈독들인 이유가 있네 ㅠㅠㅠㅠㅠㅠ
1740,도사관 부장이 은재이라고 생각했던 사람 조용히 손
1741,서브남주병이 또.....
1742,역시 킹갓 홍화ㅋㅋㅋㅋㅋㅋㅋ
1743,"지금을 만들기 위해
총을들고 있었던 한사람을 기억해달라고...
너무 슬프고도 현실적이네요"
1744,의젓하개
1745,혜진이가 은주한테는 잘못했지만 미숙이에겐 정말 친자매 이상으로 잘했는데 정작 미숙이는 생각이 좀 다르네  그 부분은 혜진이 잘못도 크지만... 셋다 친해졌음 좋겠다
1746,낚시천제 히아센이다
1747,스펙이 괜찮은정도가아니라 ㅈㄴ좋은데
1748,그런 좋은 엄마가 되고 싶다며!!!!!왜 죽은건데!!!왜!!!!!!!!!!!어흐흐흐흐극그극ㄱ규ㅠㅠㅠㅠㅠㅠㅠ세니카 잘못이 아닌데...ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ새니카 죽인놈 갈아버릴거야...
1749,와... 그 영혼이라는게 다시태어날 영혼들일줄 알았는데.. 죽은 수라들이엿다니
1750,떡볶이 왜이렇게 맛있게 그려요......ㅠㅡㅠㅋㅋ
1751,이남자 나온 중학교 알것같아. 아웃오브안중
1752,작가님 지금 현재 나탈리야님 무사히 계신다고 해주세요 제발ㅠㅠ 강하신 분이니까 꺾이지 않고 잘 살고 계신다고 해주세요ㅠㅠㅠㅠ
1753,[가까이 있는 사람들 속조차 모르고]에서 홍준 컷 나오는거 진짜 작가님 연출력 대박이야ㅠㅠㅠㅠㅠ
1754,아 이무기 데려가지 마세요ㅠㅠ나쁜 짓을 했지만 착한 아이입니다 얼마나 순하고 예쁜데요
1755,"오베이흐(복종) 이란 뜻으로 2중인격인 쌍둥이 사도 입니다.
한쪽은 평범한 학생인 오베이흐 다른쪽은 사도의 인격의 오베이흐 어떻게 보면 지킬앤하이드 같죠. '쌍둥이 동생'으로는 비가 있습니다 그둘을 같이 부르는 이름으로는 베이비 혹은 오베이비가 있습니다 둘다 오베이흐는 싫어하지만요
여든 베이야 반가워ㅠㅠㅠㅠㅠㅠㅠㅠ 오랜만이야ㅠㅠㅠ"
1756,"봉원이 마음도, 호선이 마음도 이해된다ㅠㅠㅠㅠㅠㅠㅠ특히나 어린채로 자라나지 못한 호선이는 어딘가 원망할 곳이 너무너무 필요했을테고.... 그 와중에 7년전, 10년전에 화해했었다는거 너무 귀엽고.... 꽃을 쥐어주며 진정하라는 이경이 멋지고..ㅠㅠㅠㅠㅠㅠㅠㅠ"
1757,명태 지금 들어오는거 전부 수입 러시아산이라 십세 명태인간 이름 마크인거임ㅋㅋㅋㅋㅋㅋㅋㅋ아 작가님 현실반영 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋ다른 분들도 보시게 배댓부탁드립니닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1758,다정이가 찔린기 아니라 누가 다정이 대신 저 아재 찌른거같은디..
1759,배철수 잘한다!!!
